,supported_x_min,supported_x_max,n_boundary_bins,upper_degree,upper_r2,upper_adjusted_r2,upper_turning_x,upper_typed_turning_x,lower_degree,lower_r2,lower_adjusted_r2,lower_turning_x,lower_typed_turning_x
forest_frac_slope_2000_2025,-0.0337957950847282,0.0245955341435554,40.0,3.0,0.9559697368653722,0.9523005482708199,0.021029642954182012,0.021029642954182012,3.0,0.9874539909835368,0.9864084902321649,-0.03222480756934083,-0.03222480756934083
built_frac_slope_2000_2025,-0.0045547669409690995,0.02837145672350255,27.0,2.0,0.8929602005115912,0.8840402172208904,,,3.0,0.9353474552566067,0.9269145146379032,0.016583779034862033,0.016583779034862033
mndwi_mean_2000_2025,-0.5665392965408129,-0.0195518588895128,26.0,3.0,0.2790027934738539,0.1806849925839249,-0.4049018339452735,-0.4049018339452735,2.0,0.3566078155630582,0.30066066909028066,-0.22305265974208965,-0.22305265974208965
ssrd_wm2_slope_2000_2025,-0.1474445462226867,-0.071903109550476,56.0,3.0,0.3657258273574103,0.3291330866280302,-0.12442046548263459,-0.12442046548263459,2.0,0.06368396159780154,0.028351280903378906,-0.10699473545371709,-0.10699473545371709
slope_mean,2.146557888786898,30.25431243974413,50.0,3.0,0.7550893486312864,0.7391169148463703,13.566515780189324,13.566515780189324,3.0,0.8903363091712195,0.8831843293345599,25.091296912354558,25.091296912354558
ntl_viirs_slope_2014_2025,-0.169976548605519,2.0690240958599473,23.0,2.0,0.8297557637750758,0.8127313401525833,,,2.0,0.5497009235886325,0.5046710159474957,1.4450709045449934,1.4450709045449934
