configuration,feature,mean_abs_shap,rank,abbreviation,family
learning_rate_low,pdsi_slope_2000_2025,0.00043070680112577975,12,PDSIs,Hydrology
learning_rate_low,elevation_mean,0.00034901979961432517,13,ELEV,Terrain
learning_rate_low,terrain_tpi_5km,0.0003036893031094223,14,TPI5,Terrain
learning_rate_low,hydro_hand_m,0.0002997943665832281,15,HAND,Hydrology
learning_rate_low,pop_log_density_2000,0.0002582563320174813,16,POP,Human activity
learning_rate_low,soil_water_top_slope_2000_2025,0.00025630512391217053,17,SWTs,Hydrology
learning_rate_low,ntl_viirs_slope_2014_2025,0.00022705151059199125,18,NTLs,Human activity
learning_rate_low,prcp_mm_slope_2000_2025,0.00022084642841946334,19,PRCPs,Climate
learning_rate_low,mkde3k,0.00021106359781697392,20,MKDE3,Human activity
learning_rate_low,soil_water_rootzone_slope_2000_2025,0.0002097111428156495,21,SWRs,Hydrology
learning_rate_low,built_frac_mean_2000_2025,0.00019644765416160226,22,BLTm,Land cover
learning_rate_low,prcp_mm_mean_2000_2025,0.00019452624837867916,23,PRCPm,Climate
learning_rate_low,aet_mm_slope_2000_2025,0.00019425708160270005,24,AETs,Climate
learning_rate_low,terrain_eastness_mean,0.00019351704395376146,25,EAST,Terrain
learning_rate_low,road_dist_km,0.00019004489877261221,26,RDIST,Human activity
learning_rate_low,ntl_viirs_mean_2014_2025,0.00018994226411450654,27,NTLm,Human activity
learning_rate_low,pdsi_mean_2000_2025,0.0001810488902265206,28,PDSIm,Hydrology
learning_rate_low,hydro_twi_proxy,0.0001641737180761993,29,TWI,Hydrology
learning_rate_low,vpd_kpa_slope_2000_2025,0.0001563586265547201,30,VPDs,Climate
learning_rate_low,mdist_km,0.00015259582141879946,31,MDIST,Human activity
learning_rate_low,def_mm_slope_2000_2025,0.00014198521967045963,32,CWDs,Climate
learning_rate_low,aet_mm_mean_2000_2025,0.00014003223623149097,33,AETm,Climate
learning_rate_low,terrain_tpi_1km,0.00013909807603340596,34,TPI1,Terrain
learning_rate_low,hydro_log_upstream_area,0.0001376430445816368,35,UPA,Hydrology
learning_rate_low,ssrd_wm2_mean_2000_2025,0.00012476964911911637,36,SRADm,Climate
learning_rate_low,runoff_mm_mean_2000_2025,0.00012352150224614888,37,RUNm,Hydrology
learning_rate_low,pet_mm_mean_2000_2025,0.00011368063860572875,38,PETm,Climate
learning_rate_low,soil_water_rootzone_mean_2000_2025,0.000110009299532976,39,SWRm,Hydrology
learning_rate_low,tmean_c_mean_2000_2025,0.00010781814489746466,40,TEMPm,Climate
learning_rate_low,def_mm_mean_2000_2025,0.00010772536916192621,41,CWDm,Climate
learning_rate_low,vpd_kpa_mean_2000_2025,0.00010688029578886926,42,VPDm,Climate
learning_rate_low,pet_mm_slope_2000_2025,0.00010166299034608528,43,PETs,Climate
learning_rate_low,runoff_mm_slope_2000_2025,0.00010128388385055587,44,RUNs,Hydrology
learning_rate_low,tmean_c_slope_2000_2025,9.957948350347579e-05,45,TEMPs,Climate
learning_rate_low,soil_water_top_mean_2000_2025,9.486277122050524e-05,46,SWTm,Hydrology
learning_rate_low,pop_log_change_2000_2020_per_year,7.860239566070959e-05,47,POPs,Human activity
learning_rate_low,water_frac_mean_2000_2025,4.805409116670489e-05,48,WATm,Land cover
learning_rate_low,grass_frac_mean_2000_2025,3.549762550392188e-05,49,GRSm,Land cover
learning_rate_low,hydro_stream_distance_km,2.4887202016543597e-05,50,SDIST,Hydrology
learning_rate_low,mcnt2k,1.755412267812062e-05,51,MCNT2,Human activity
learning_rate_low,mining_disturbance_intensity_2000_2025,1.5837858882150613e-05,52,MDI,Human activity
learning_rate_low,water_frac_slope_2000_2025,1.4504928003589157e-05,53,WATs,Land cover
learning_rate_low,barren_frac_mean_2000_2025,6.849211786175147e-06,54,BARm,Land cover
