configuration,feature,mean_abs_shap,rank,abbreviation,family
l2_low,tmean_c_mean_2000_2025,0.00011288611858617514,42,TEMPm,Climate
l2_low,soil_water_top_mean_2000_2025,0.00010999471851391718,43,SWTm,Hydrology
l2_low,pet_mm_slope_2000_2025,0.00010837437002919614,44,PETs,Climate
l2_low,tmean_c_slope_2000_2025,0.00010755291441455483,45,TEMPs,Climate
l2_low,def_mm_mean_2000_2025,0.00010211603512289003,46,CWDm,Climate
l2_low,pop_log_change_2000_2020_per_year,8.629516378277913e-05,47,POPs,Human activity
l2_low,water_frac_mean_2000_2025,4.842296402784996e-05,48,WATm,Land cover
l2_low,grass_frac_mean_2000_2025,3.9619775634491816e-05,49,GRSm,Land cover
l2_low,hydro_stream_distance_km,3.0299768695840612e-05,50,SDIST,Hydrology
l2_low,mcnt2k,2.1030680727562867e-05,51,MCNT2,Human activity
l2_low,mining_disturbance_intensity_2000_2025,2.0787050743820146e-05,52,MDI,Human activity
l2_low,water_frac_slope_2000_2025,1.551022614876274e-05,53,WATs,Land cover
l2_low,barren_frac_mean_2000_2025,7.5231191658531316e-06,54,BARm,Land cover
l2_low,shrub_frac_mean_2000_2025,6.489244242402492e-06,55,SHRm,Land cover
l2_low,barren_frac_slope_2000_2025,2.6744728529592976e-06,56,BARs,Land cover
l2_low,shrub_frac_slope_2000_2025,8.566152018829598e-07,57,SHRs,Land cover
l2_high,forest_frac_slope_2000_2025,0.003363643540069461,1,FORs,Land cover
l2_high,mndwi_mean_2000_2025,0.0012900311267003417,2,MNDWIm,Hydrology
l2_high,mndwi_slope_2000_2025,0.0012405177112668753,3,MNDWIs,Hydrology
l2_high,built_frac_slope_2000_2025,0.001168031245470047,4,BLTs,Land cover
l2_high,forest_frac_mean_2000_2025,0.0010689765913411975,5,FORm,Land cover
l2_high,cropland_frac_slope_2000_2025,0.0008405865519307554,6,CRPs,Land cover
l2_high,cropland_frac_mean_2000_2025,0.0007160971290431917,7,CRPm,Land cover
l2_high,slope_mean,0.0006938007427379489,8,SLOPE,Terrain
l2_high,terrain_northness_mean,0.0006146405357867479,9,NORTH,Terrain
l2_high,ssrd_wm2_slope_2000_2025,0.0004926692345179617,10,SRADs,Climate
l2_high,grass_frac_slope_2000_2025,0.0004516923800110817,11,GRSs,Land cover
l2_high,pdsi_slope_2000_2025,0.0004336375859566033,12,PDSIs,Hydrology
l2_high,elevation_mean,0.0003751831245608628,13,ELEV,Terrain
l2_high,hydro_hand_m,0.0003188028931617737,14,HAND,Hydrology
l2_high,terrain_tpi_5km,0.00031757005490362644,15,TPI5,Terrain
l2_high,pop_log_density_2000,0.0002658010635059327,16,POP,Human activity
l2_high,soil_water_top_slope_2000_2025,0.0002642700565047562,17,SWTs,Hydrology
l2_high,ntl_viirs_slope_2014_2025,0.000263293826719746,18,NTLs,Human activity
l2_high,mkde3k,0.00025164042017422616,19,MKDE3,Human activity
l2_high,soil_water_rootzone_slope_2000_2025,0.00023829042038414627,20,SWRs,Hydrology
l2_high,road_dist_km,0.00023255559790413827,21,RDIST,Human activity
l2_high,prcp_mm_slope_2000_2025,0.0002298136823810637,22,PRCPs,Climate
l2_high,built_frac_mean_2000_2025,0.00022917559545021504,23,BLTm,Land cover
l2_high,ntl_viirs_mean_2014_2025,0.0002280051849083975,24,NTLm,Human activity
l2_high,terrain_eastness_mean,0.0002249856770504266,25,EAST,Terrain
l2_high,pdsi_mean_2000_2025,0.00021266326075419784,26,PDSIm,Hydrology
l2_high,prcp_mm_mean_2000_2025,0.00020866676641162485,27,PRCPm,Climate
l2_high,aet_mm_slope_2000_2025,0.00019209376478102058,28,AETs,Climate
l2_high,hydro_twi_proxy,0.0001917390472954139,29,TWI,Hydrology
l2_high,hydro_log_upstream_area,0.00018581317272037268,30,UPA,Hydrology
l2_high,mdist_km,0.0001846401864895597,31,MDIST,Human activity
l2_high,terrain_tpi_1km,0.00016660943219903857,32,TPI1,Terrain
l2_high,def_mm_slope_2000_2025,0.00016057590255513787,33,CWDs,Climate
l2_high,aet_mm_mean_2000_2025,0.00015818439715076238,34,AETm,Climate
l2_high,vpd_kpa_slope_2000_2025,0.0001473113807151094,35,VPDs,Climate
l2_high,runoff_mm_mean_2000_2025,0.00014360705972649157,36,RUNm,Hydrology
l2_high,ssrd_wm2_mean_2000_2025,0.00013333078823052347,37,SRADm,Climate
l2_high,runoff_mm_slope_2000_2025,0.00012523769692052156,38,RUNs,Hydrology
l2_high,def_mm_mean_2000_2025,0.00011866396380355582,39,CWDm,Climate
l2_high,pet_mm_mean_2000_2025,0.00011745137453544885,40,PETm,Climate
l2_high,pet_mm_slope_2000_2025,0.00011639176227618009,41,PETs,Climate
l2_high,tmean_c_mean_2000_2025,0.00011501898552523926,42,TEMPm,Climate
l2_high,soil_water_rootzone_mean_2000_2025,0.0001124943737522699,43,SWRm,Hydrology
l2_high,vpd_kpa_mean_2000_2025,0.00011007099237758666,44,VPDm,Climate
l2_high,soil_water_top_mean_2000_2025,0.00010814621055033058,45,SWTm,Hydrology
l2_high,tmean_c_slope_2000_2025,0.00010624211427057162,46,TEMPs,Climate
l2_high,pop_log_change_2000_2020_per_year,8.60394720803015e-05,47,POPs,Human activity
l2_high,water_frac_mean_2000_2025,5.099856934975833e-05,48,WATm,Land cover
l2_high,grass_frac_mean_2000_2025,3.83782789867837e-05,49,GRSm,Land cover
l2_high,hydro_stream_distance_km,3.157130777253769e-05,50,SDIST,Hydrology
l2_high,mcnt2k,2.254635182907805e-05,51,MCNT2,Human activity
l2_high,mining_disturbance_intensity_2000_2025,2.0618954295059666e-05,52,MDI,Human activity
l2_high,water_frac_slope_2000_2025,1.5195566447800957e-05,53,WATs,Land cover
l2_high,barren_frac_mean_2000_2025,6.640170340688201e-06,54,BARm,Land cover
l2_high,shrub_frac_mean_2000_2025,6.396493517968338e-06,55,SHRm,Land cover
l2_high,barren_frac_slope_2000_2025,3.316817810627981e-06,56,BARs,Land cover
l2_high,shrub_frac_slope_2000_2025,6.434295301005477e-07,57,SHRs,Land cover
lightgbm,forest_frac_slope_2000_2025,0.003833131631836295,1,FORs,Land cover
lightgbm,mndwi_mean_2000_2025,0.0012922255555167794,2,MNDWIm,Hydrology
lightgbm,mndwi_slope_2000_2025,0.001236161682754755,3,MNDWIs,Hydrology
lightgbm,built_frac_slope_2000_2025,0.00115779391489923,4,BLTs,Land cover
lightgbm,forest_frac_mean_2000_2025,0.0010976755293086171,5,FORm,Land cover
lightgbm,cropland_frac_mean_2000_2025,0.0006956348661333323,6,CRPm,Land cover
lightgbm,slope_mean,0.0006738316733390093,7,SLOPE,Terrain
lightgbm,terrain_northness_mean,0.000623666332103312,8,NORTH,Terrain
lightgbm,ssrd_wm2_slope_2000_2025,0.000511509773787111,9,SRADs,Climate
lightgbm,grass_frac_slope_2000_2025,0.00044014613376930356,10,GRSs,Land cover
lightgbm,pdsi_slope_2000_2025,0.0004387476365081966,11,PDSIs,Hydrology
lightgbm,cropland_frac_slope_2000_2025,0.0004268359625712037,12,CRPs,Land cover
lightgbm,elevation_mean,0.00035957773798145354,13,ELEV,Terrain
lightgbm,terrain_tpi_5km,0.0003291886823717505,14,TPI5,Terrain
lightgbm,hydro_hand_m,0.000317609024932608,15,HAND,Hydrology
lightgbm,soil_water_top_slope_2000_2025,0.00028651076718233526,16,SWTs,Hydrology
lightgbm,pop_log_density_2000,0.0002684133069124073,17,POP,Human activity
lightgbm,ntl_viirs_slope_2014_2025,0.00025210928288288414,18,NTLs,Human activity
lightgbm,mkde3k,0.0002486200537532568,19,MKDE3,Human activity
lightgbm,built_frac_mean_2000_2025,0.00023093778872862458,20,BLTm,Land cover
lightgbm,terrain_eastness_mean,0.0002302517823409289,21,EAST,Terrain
lightgbm,prcp_mm_slope_2000_2025,0.00022750227071810514,22,PRCPs,Climate
lightgbm,ntl_viirs_mean_2014_2025,0.00022464996436610818,23,NTLm,Human activity
lightgbm,road_dist_km,0.0002241060574306175,24,RDIST,Human activity
lightgbm,soil_water_rootzone_slope_2000_2025,0.00021779084636364132,25,SWRs,Hydrology
lightgbm,prcp_mm_mean_2000_2025,0.00020328725804574788,26,PRCPm,Climate
lightgbm,pdsi_mean_2000_2025,0.00020194303942844272,27,PDSIm,Hydrology
lightgbm,aet_mm_slope_2000_2025,0.00019151420565322042,28,AETs,Climate
lightgbm,hydro_twi_proxy,0.00018737203208729625,29,TWI,Hydrology
lightgbm,mdist_km,0.0001835609582485631,30,MDIST,Human activity
lightgbm,hydro_log_upstream_area,0.00017261788889300078,31,UPA,Hydrology
lightgbm,terrain_tpi_1km,0.00016577032511122525,32,TPI1,Terrain
lightgbm,vpd_kpa_slope_2000_2025,0.0001589825697010383,33,VPDs,Climate
lightgbm,aet_mm_mean_2000_2025,0.00015551676915492862,34,AETm,Climate
lightgbm,def_mm_slope_2000_2025,0.00014657829888164997,35,CWDs,Climate
lightgbm,runoff_mm_mean_2000_2025,0.00014191167429089546,36,RUNm,Hydrology
lightgbm,ssrd_wm2_mean_2000_2025,0.00013838325685355812,37,SRADm,Climate
lightgbm,vpd_kpa_mean_2000_2025,0.00012343945854809135,38,VPDm,Climate
lightgbm,pet_mm_mean_2000_2025,0.00011784441448980942,39,PETm,Climate
lightgbm,soil_water_rootzone_mean_2000_2025,0.00011725823424058035,40,SWRm,Hydrology
lightgbm,tmean_c_mean_2000_2025,0.00011674539564410225,41,TEMPm,Climate
lightgbm,runoff_mm_slope_2000_2025,0.00011290769907645881,42,RUNs,Hydrology
lightgbm,pet_mm_slope_2000_2025,0.00011083349818363786,43,PETs,Climate
lightgbm,def_mm_mean_2000_2025,0.0001086275588022545,44,CWDm,Climate
lightgbm,tmean_c_slope_2000_2025,0.00010519241914153099,45,TEMPs,Climate
lightgbm,soil_water_top_mean_2000_2025,0.00010216893861070275,46,SWTm,Hydrology
lightgbm,pop_log_change_2000_2020_per_year,9.777397644938901e-05,47,POPs,Human activity
lightgbm,water_frac_mean_2000_2025,5.489429895533249e-05,48,WATm,Land cover
lightgbm,grass_frac_mean_2000_2025,3.8515394408022985e-05,49,GRSm,Land cover
lightgbm,hydro_stream_distance_km,3.161505810567178e-05,50,SDIST,Hydrology
lightgbm,water_frac_slope_2000_2025,2.427843355690129e-05,51,WATs,Land cover
lightgbm,mining_disturbance_intensity_2000_2025,2.3309057723963633e-05,52,MDI,Human activity
lightgbm,mcnt2k,2.2763510060030967e-05,53,MCNT2,Human activity
lightgbm,shrub_frac_mean_2000_2025,6.886255960125709e-06,54,SHRm,Land cover
lightgbm,barren_frac_mean_2000_2025,6.3449551817029715e-06,55,BARm,Land cover
lightgbm,barren_frac_slope_2000_2025,3.2263772027363302e-06,56,BARs,Land cover
lightgbm,shrub_frac_slope_2000_2025,1.891297188194585e-06,57,SHRs,Land cover
