ring_km,n_mapped_cells,n_valid_response,count_area_km2,fraction_all_ROI5,median_eci_change,median_mkde3k
0-1,3012,3009,753.0,0.07868133016378882,0.1666643415778808,0.0702231669322836
1-2,5972,5969,1493.0,0.1560042841096105,0.15353900403980386,0.0413733602919045
2-3,7917,7916,1979.25,0.20681277918549673,0.14881333013536657,0.0280593613792024
3-5,18426,18425,4606.5,0.48133538831274,0.13161751179898518,0.0138473109396848
edge_gt5,2954,2954,738.5,0.07716621822836393,0.12050386214680398,0.007669223423404399
