radius_km,n_mapped_cells,n_valid_response,count_area_km2,eci_2000_median,eci_2025_median,median_paired_eci_change,positive_sen_fraction_valid
1,3012,3009,753.0,0.4860636468459931,0.6800889933029992,0.1666643415778808,0.9378531073446328
2,8984,8978,2246.0,0.5209460728605759,0.702329366162739,0.15816773516551214,0.9345065716195143
3,16901,16894,4225.25,0.537717896841662,0.7090256330658785,0.15342602993346932,0.9350065111874039
5,35327,35319,8831.75,0.5580182296240775,0.715879710525101,0.1416808017201719,0.9329822475155015
