scope,domain,outcome,n,mean,median,q25,q75
all_domains,BG15,eci_2000,84192,0.5431561177994324,0.5742235018377253,0.38221758272833883,0.720358679582371
all_domains,BG15,eci_2025,84192,0.6475652929218989,0.7165768159888848,0.4672194755227176,0.8637786294367881
all_domains,BG15,eci_change,84192,0.1044091751224666,0.11697344457218967,0.014839529061239781,0.20922046806746963
all_domains,ROI5,eci_2000,38281,0.5349011012305378,0.5599082679187032,0.37226562328945506,0.7144286896094459
all_domains,ROI5,eci_2025,38281,0.6625522588472293,0.7155577937399502,0.49837767084868645,0.863240160525865
all_domains,ROI5,eci_change,38281,0.1276511576166914,0.14020784328131575,0.03912393473678555,0.23087925602282733
exclude_shared_BG15_footprints,BG15,eci_2000,77685,0.5424579878529464,0.5732290631466472,0.381133829168244,0.7201886654157297
exclude_shared_BG15_footprints,BG15,eci_2025,77685,0.6464089529919029,0.7165769429521649,0.4647557324026187,0.8638107217050965
exclude_shared_BG15_footprints,BG15,eci_change,77685,0.1039509651389566,0.11648152486951668,0.014301122072920891,0.20882645491930846
exclude_shared_BG15_footprints,ROI5,eci_2000,38281,0.5349011012305378,0.5599082679187032,0.37226562328945506,0.7144286896094459
exclude_shared_BG15_footprints,ROI5,eci_2025,38281,0.6625522588472293,0.7155577937399502,0.49837767084868645,0.863240160525865
exclude_shared_BG15_footprints,ROI5,eci_change,38281,0.1276511576166914,0.14020784328131575,0.03912393473678555,0.23087925602282733
