,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5592,116,56,91,66
rebound_after_early_decline,94,11,6736,57,17
gradual_recovery,8,284,26,9406,10
sustained_recovery,88,13946,47,407,0
persistent_decline,19,0,0,3,1193
