,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5740,80,52,0,49
rebound_after_early_decline,42,53,6653,0,167
gradual_recovery,63,9500,47,0,124
sustained_recovery,77,153,119,0,14139
persistent_decline,23,7,10,1175,0
