,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5234,126,342,206,13
rebound_after_early_decline,114,6732,60,9,0
gradual_recovery,22,38,209,9464,1
sustained_recovery,101,9,14167,211,0
persistent_decline,78,23,0,20,1094
