,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,21,127,93,5614,66
rebound_after_early_decline,237,6472,133,65,8
gradual_recovery,559,123,8958,89,5
sustained_recovery,13254,280,760,194,0
persistent_decline,0,0,6,8,1201
