,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,119,57,65,66,5614
rebound_after_early_decline,15,126,32,6692,50
gradual_recovery,10,114,9445,71,94
sustained_recovery,0,13871,99,279,239
persistent_decline,1199,0,7,1,8
