,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,204,39,81,208,5389
rebound_after_early_decline,124,6602,4,23,162
gradual_recovery,9286,13,5,403,27
sustained_recovery,508,46,0,13913,21
persistent_decline,3,2,1151,0,59
