,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,6,81,75,104,5655
rebound_after_early_decline,0,44,6590,226,55
gradual_recovery,2,9442,108,138,44
sustained_recovery,0,284,162,13973,69
persistent_decline,1134,9,25,0,47
