,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5594,7,156,86,78
rebound_after_early_decline,314,1003,5321,271,6
gradual_recovery,84,119,182,9346,3
sustained_recovery,211,13566,12,699,0
persistent_decline,3,0,36,0,1174
