,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,60,5538,118,123,82
rebound_after_early_decline,22,80,6789,23,1
gradual_recovery,9341,158,29,194,12
sustained_recovery,284,264,22,13918,0
persistent_decline,8,7,4,0,1196
