,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5463,132,86,216,24
rebound_after_early_decline,91,2,6758,61,3
gradual_recovery,44,9614,25,50,1
sustained_recovery,90,65,11,14322,0
persistent_decline,59,26,14,0,1116
