,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,87,5718,1,29,86
rebound_after_early_decline,91,49,51,6709,15
gradual_recovery,9372,97,229,29,7
sustained_recovery,331,138,13989,30,0
persistent_decline,1,3,0,0,1211
