class,main_record_2000_2025,interpolated_2012,interpolated_2024,mixed_record_2000_2023,landsat7_record_2000_2023
Sustained recovery,37.85436208293053,37.52253546886839,34.61186737386669,36.122288999216096,35.981186307812905
Gradual recovery,25.433072923470856,26.6349645964518,24.758968463407623,25.46642278547165,32.53200940684609
Rebound after early decline,18.067567214485408,17.5476184255219,18.5875160034489,18.813692187091718,15.168539325842698
Late-stage decline,15.470436077652652,14.84858777728424,17.52410315365923,15.717272014632872,13.726156258165664
Persistent decline,3.17456170146056,3.44629373187364,4.51754500561753,3.880324013587667,2.5921087013326365
