,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,4,72,42,479,5324
rebound_after_early_decline,52,6586,35,51,191
gradual_recovery,869,174,8341,34,316
sustained_recovery,12911,98,495,0,984
persistent_decline,0,2,2,1208,3
