,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,171,88,42,47,5573
rebound_after_early_decline,110,31,6664,10,100
gradual_recovery,9189,434,24,4,83
sustained_recovery,443,13963,50,0,32
persistent_decline,5,0,1,1154,55
