,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,82,143,5538,71,87
rebound_after_early_decline,21,6,97,30,6761
gradual_recovery,9,270,48,9384,23
sustained_recovery,0,14029,231,209,19
persistent_decline,1185,0,18,10,2
