,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5322,156,94,88,261
rebound_after_early_decline,156,32,35,6545,147
gradual_recovery,64,472,14,17,9167
sustained_recovery,104,13701,0,66,617
persistent_decline,37,0,1176,0,2
