,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,63,133,39,5623,63
rebound_after_early_decline,1,30,15,87,6782
gradual_recovery,4,181,9484,30,35
sustained_recovery,0,14098,268,111,11
persistent_decline,1199,0,3,9,4
