,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,131,39,58,5610,83
rebound_after_early_decline,6612,212,2,40,49
gradual_recovery,92,221,4,62,9355
sustained_recovery,255,13773,0,100,360
persistent_decline,0,0,1199,10,6
