,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,26,5116,475,59,245
rebound_after_early_decline,47,157,22,225,6464
gradual_recovery,7844,512,33,1007,338
sustained_recovery,1553,919,0,11956,60
persistent_decline,6,3,1199,0,7
