,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,37,5705,114,35,30
rebound_after_early_decline,7,117,77,138,6576
gradual_recovery,8,69,9390,189,78
sustained_recovery,0,65,244,14104,75
persistent_decline,1213,2,0,0,0
