,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5628,135,36,83,39
rebound_after_early_decline,81,21,6714,75,24
gradual_recovery,56,10,50,8974,644
sustained_recovery,158,0,28,326,13976
persistent_decline,23,1188,0,4,0
