,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,186,54,42,5585,54
rebound_after_early_decline,289,6434,90,67,35
gradual_recovery,9096,34,495,98,11
sustained_recovery,472,102,13904,10,0
persistent_decline,1,0,0,21,1192
