,alternative_cluster_0,alternative_cluster_1,alternative_cluster_2,alternative_cluster_3,alternative_cluster_4
temporary_recovery_with_late_setback,5598,109,83,11,120
rebound_after_early_decline,72,72,361,1,6409
gradual_recovery,74,9428,71,7,154
sustained_recovery,70,429,13827,0,162
persistent_decline,8,2,0,1190,15
