pair_number,feature_x,feature_y,x,y,predicted_recovery_trend,observed_support_count,interaction_rank,mean_abs_shap_interaction,background_rows,grid_size
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.009234323892076339,-0.00524693401924186,0.0025526448152959347,0,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008854964119288272,-0.00524693401924186,0.0027184600476175547,0,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008475604346500205,-0.00524693401924186,0.002985926577821374,0,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008096244573712136,-0.00524693401924186,0.003472936572507024,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924069,-0.00524693401924186,0.004070605617016554,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0073375250281360015,-0.00524693401924186,0.004310243763029575,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006958165255347934,-0.00524693401924186,0.004618386272341013,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006578805482559867,-0.00524693401924186,0.004817652981728315,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006199445709771799,-0.00524693401924186,0.004837998654693365,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005820085936983731,-0.00524693401924186,0.005511097609996796,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005440726164195664,-0.00524693401924186,0.006958835758268833,3,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005061366391407597,-0.00524693401924186,0.006949679926037788,3,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.00468200661861953,-0.00524693401924186,0.008263617753982544,4,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314615,-0.00524693401924186,0.008794900961220264,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.003923287073043394,-0.00524693401924186,0.008946225978434086,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553263,-0.00524693401924186,0.009582209400832653,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.003164567527467259,-0.00524693401924186,0.010098444297909737,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002785207754679192,-0.00524693401924186,0.0118245929479599,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002405847981891124,-0.00524693401924186,0.012063471600413322,9,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103057,-0.00524693401924186,0.012789991684257984,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149888,-0.00524693401924186,0.013516136445105076,7,3,0.0002420278615318,1200,41
