year,n,eci_median,eci_q25,eci_q75,regain_median,regain_q25,regain_q75
2000,38281,0.5599082679187033,0.37226562328945506,0.7144286896094459,0.3980681577778275,0.2074104010596484,0.6057452117629235
2001,38281,0.573322778578084,0.37604564737040913,0.7190456036149644,0.40848480970380835,0.2665228452405928,0.5768324409806923
2002,38281,0.5246421037571274,0.3211023151065576,0.6968795309591796,0.3133196766899192,0.16090210301147692,0.5079909935910769
2003,38281,0.506342587224281,0.25194629506958865,0.6870976016561442,0.20054037049200404,0.05278625505914479,0.4094278038702761
2004,38281,0.46905306991611867,0.21590624804479056,0.6754066176864529,0.14082969558171188,0.0,0.3610602647797481
2005,38281,0.5481976888904805,0.35944088298933446,0.7114819539545767,0.3944839692842033,0.2450104440809707,0.5695470799710292
2006,38281,0.5986555143265997,0.36654419314992803,0.7584667938986606,0.48235252306586157,0.3323393978636648,0.6419234940536002
2007,38281,0.5634103863487014,0.33813937980821246,0.721774882422661,0.3967620268776112,0.2514974951371416,0.5484592915818912
2008,38281,0.5422153944097962,0.35544190427476546,0.6909985173443417,0.39520825678034616,0.19747223232046135,0.5578809742626
2009,38281,0.49623169744695217,0.2685759925494844,0.6740529473440269,0.25283149695750423,0.10959023253789535,0.3949488215925008
2010,38281,0.5480167277891335,0.35919016439575746,0.6967335682219685,0.3853093925849608,0.2595793123027995,0.5080258048314109
2011,38281,0.541982989890082,0.3628460484249965,0.7122932626151391,0.4357205218012073,0.2793897088092422,0.576489591313805
2012,38281,0.6696779411691028,0.47890459245306394,0.8102232654219959,0.6918816233941869,0.5134966712338433,0.8453943332622612
2013,38281,0.6859760370093492,0.488963984682639,0.8326835243249613,0.7311349695108281,0.5834750902350466,0.8550113662938267
2014,38281,0.6713412829022236,0.4631204124945421,0.8306607591492814,0.7015994233648756,0.5516309679169148,0.8310100517517491
2015,38281,0.6780203361772354,0.49186145967255207,0.8231226553778643,0.7262646451400437,0.5701980488553221,0.8501794573175331
2016,38281,0.6439399404945771,0.44976807644910416,0.7933377494115507,0.6264324201102003,0.4583429721774034,0.7625122986903574
2017,38281,0.7144004111152067,0.5054024862056339,0.8664441224864564,0.7929421428848309,0.6467249180268676,0.907359699566664
2018,38281,0.686273840242263,0.46562388920948555,0.8513726147609755,0.7311380233639636,0.5804131757331638,0.8492733437330541
2019,38281,0.7217431763255917,0.508151000339236,0.871997446323151,0.7931910233250419,0.6500022029437934,0.9009046719730777
2020,38281,0.6755095468487784,0.4687115532713819,0.830901441277236,0.6917452277951963,0.5383741510450195,0.8194569996423542
2021,38281,0.6793706808391117,0.43029801926596345,0.8398340790409694,0.6687566079521002,0.48117898778137863,0.8099438633966932
2022,38281,0.7614135694400872,0.5474881311615831,0.9110134508908507,0.9055467026091243,0.7644319467646896,1.0
2023,38281,0.6897504510026522,0.4832322226432132,0.8351241269577607,0.7154537182811245,0.5789813109009759,0.8181753630927904
2024,38281,0.7636665443757433,0.584616707446482,0.8920678306483157,0.9297963768012595,0.7758041735405843,1.0
2025,38281,0.7155577937399501,0.49837767084868645,0.863240160525865,0.7695754582021804,0.6032865240104816,0.8888722345138153
