family,n_predictors,mean_abs_shap_sum,median_abs_shap_sum,share_total_abs_shap,mean_signed_shap_sum,dominant_cell_share
Land cover,14,0.00800321251153946,0.005936149973422289,0.4148072371801754,-0.0002773872984107584,0.6123638073837954
Hydrology,14,0.004925039131194353,0.004536907188594341,0.25526525298366265,0.0002792632731143385,0.32874350064013796
Climate,14,0.002410757588222623,0.0022340849973261356,0.12494979736692303,-0.00012354394129943103,0.009092571786899381
Terrain,6,0.0024035724345594645,0.0020420418586581945,0.12457739487533505,0.0001322174648521468,0.049094662033287176
Human activity,9,0.0015512184472754598,0.0014291771221905947,0.08039981649744278,2.2184831323102117e-06,0.0007054581558801244
