management_context,n_cells,share
consolidated_recovery,17602,0.4599064614741463
advancing_recovery,10612,0.2772711833407363
high_position_monitoring,2931,0.07658140203276462
stalled_recovery,6509,0.1700676717268048
significant_decline,562,0.014683980874245552
unevaluable_variance,57,0.0014893005513024848
