hotspot,quantile,regional_slope,hotspot_slope
Dingnan,0.0,-0.0461560972034931,-0.0453390628099441
Dingnan,0.01,-0.018915097415447217,-0.023730619549751246
Dingnan,0.02,-0.012422381490468924,-0.01677165627479544
Dingnan,0.03,-0.00823634322732679,-0.01262765467166896
Dingnan,0.04,-0.005004931166768058,-0.009481503926217516
Dingnan,0.05,-0.00265467823483042,-0.006532184779643979
Dingnan,0.06,-0.0007005208125337322,-0.00470732063055034
Dingnan,0.07,0.0004181696311569883,-0.0023381822835653915
Dingnan,0.08,0.0019375165738165171,-0.00044227397069327264
Dingnan,0.09,0.0032794215157627322,0.0008080056682228874
Dingnan,0.1,0.004413925390690541,0.0019631191156803825
Dingnan,0.11,0.005434485357254724,0.003067433238029416
Dingnan,0.12,0.006385891418904006,0.00397780515253542
Dingnan,0.13,0.007215756997465996,0.004996623694896628
Dingnan,0.14,0.007917667329311352,0.006009682640433228
Dingnan,0.15,0.0086625654250383,0.0068532244302331995
Dingnan,0.16,0.009253519065678072,0.007473625689744852
Dingnan,0.17,0.00980351351201528,0.00816418100148436
Dingnan,0.18,0.010398186035454247,0.008838578835129668
Dingnan,0.19,0.010982048921286992,0.009356694221496525
Dingnan,0.2,0.01152512021362774,0.0098035797476768
Dingnan,0.21,0.012015066556632491,0.010339680723845912
Dingnan,0.22,0.012546443939208911,0.01090277113020416
Dingnan,0.23,0.01303258635103697,0.01136074714362618
Dingnan,0.24,0.013526928573846742,0.011863675788044916
Dingnan,0.25,0.0140005350112915,0.0123823350295424
Dingnan,0.26,0.01445909865200517,0.012895474731922103
Dingnan,0.27,0.014870869629085045,0.013387997597455924
Dingnan,0.28,0.015288659185171055,0.013842723518609941
Dingnan,0.29,0.01568219758570192,0.014343055263161611
Dingnan,0.3,0.01607667878270142,0.01474450305104252
Dingnan,0.31,0.016457490548491428,0.015075925700366416
Dingnan,0.32,0.01684702344238754,0.015429698303341824
Dingnan,0.33,0.017252454757690366,0.015813496634364082
Dingnan,0.34,0.0176500687003135,0.016126273348927495
Dingnan,0.35000000000000003,0.01801031529903406,0.01656915508210654
Dingnan,0.36,0.018371090218424785,0.016891033574938704
Dingnan,0.37,0.01875719562172885,0.017229288965463566
Dingnan,0.38,0.01911044053733342,0.01764117613434789
Dingnan,0.39,0.019437339678406676,0.01800357475876807
Dingnan,0.4,0.01976678408682346,0.01833024844527238
Dingnan,0.41000000000000003,0.020085541978478384,0.01874786689877506
Dingnan,0.42,0.02040912538766854,0.01909888260066504
Dingnan,0.43,0.020735789090394956,0.019406980052590325
Dingnan,0.44,0.021076405569910958,0.01967942439019674
Dingnan,0.45,0.021375764906406382,0.02002053409814828
Dingnan,0.46,0.021681724190711932,0.02039281204342836
Dingnan,0.47000000000000003,0.021980247274041093,0.02074839822947977
Dingnan,0.48,0.022290496677160192,0.021073422804474773
Dingnan,0.49,0.022591108530759758,0.021344566866755444
Dingnan,0.5,0.0228722691535949,0.0216838717460632
Dingnan,0.51,0.023154862895607895,0.02201422519981859
Dingnan,0.52,0.02343336336314675,0.022330321818590133
Dingnan,0.53,0.02371339857578274,0.022597221657633757
Dingnan,0.54,0.02399510607123373,0.022898415103554684
Dingnan,0.55,0.0242819983512163,0.02318112514913074
Dingnan,0.56,0.024575967192649772,0.023469847291707924
Dingnan,0.5700000000000001,0.024866842254996274,0.02378893546760081
Dingnan,0.58,0.025154565572738586,0.024049008190631826
Dingnan,0.59,0.02543944455683224,0.02438170157372945
Dingnan,0.6,0.02570016458630556,0.02471385970711704
Dingnan,0.61,0.025984396636486006,0.02503404110670086
Dingnan,0.62,0.026242386475205354,0.025369172021746607
Dingnan,0.63,0.026506292819976733,0.025628757178783386
Dingnan,0.64,0.026758207082748352,0.025997316911816573
Dingnan,0.65,0.0270373813807964,0.0262716989964246
Dingnan,0.66,0.027300294786691597,0.026570076644420557
Dingnan,0.67,0.02757578440010545,0.026852466166019436
Dingnan,0.68,0.027841298133134774,0.0271257150173187
Dingnan,0.6900000000000001,0.02813062272965903,0.027436337471008224
Dingnan,0.7000000000000001,0.028425773233175203,0.027678319439291898
Dingnan,0.71,0.028708821311593056,0.027960213348269432
Dingnan,0.72,0.028986355364322598,0.02831775516271586
Dingnan,0.73,0.029258074313402088,0.028636997193098035
Dingnan,0.74,0.029530571550130797,0.028877809047698925
Dingnan,0.75,0.0297849774360656,0.029163310304284
Dingnan,0.76,0.03007727757096288,0.02945444203913206
Dingnan,0.77,0.03034927368164059,0.029780210107564854
Dingnan,0.78,0.03061778388917444,0.030093389824032764
Dingnan,0.79,0.0309047728776931,0.03039320357143874
Dingnan,0.8,0.031215925887227002,0.030637101083993885
Dingnan,0.81,0.031504215002059896,0.03097902119159692
Dingnan,0.8200000000000001,0.03179789185523986,0.03127789765596386
Dingnan,0.8300000000000001,0.032137558013200715,0.0316051000356674
Dingnan,0.84,0.03246759295463554,0.03189990282058709
Dingnan,0.85,0.03281616047024718,0.03225532323122022
Dingnan,0.86,0.03312330693006512,0.0325717732310295
Dingnan,0.87,0.033441847711801496,0.03294509485363958
Dingnan,0.88,0.03378050416707987,0.03332122251391406
Dingnan,0.89,0.034124211817979797,0.033639191687107065
Dingnan,0.9,0.03448943495750426,0.03404370397329324
Dingnan,0.91,0.034857699573039934,0.034393622875213595
Dingnan,0.92,0.03527433082461352,0.03476489946246147
Dingnan,0.93,0.03568927556276313,0.03512566640973089
Dingnan,0.9400000000000001,0.03615158736705774,0.03557040527462952
Dingnan,0.9500000000000001,0.03670619577169414,0.03613373637199402
Dingnan,0.96,0.037265274971723515,0.03681448012590405
Dingnan,0.97,0.03799507409334177,0.037511428743600805
Dingnan,0.98,0.03892274126410474,0.03844545468688004
Dingnan,0.99,0.040217315703630414,0.039672157913446374
Dingnan,1.0,0.0460663735866546,0.0448362715542316
Anyuan,0.0,-0.0461560972034931,-0.0356508269906044
Anyuan,0.01,-0.018915097415447217,-0.016675116792321157
Anyuan,0.02,-0.012422381490468924,-0.011214619763195453
Anyuan,0.03,-0.00823634322732679,-0.006667910926043939
Anyuan,0.04,-0.005004931166768058,-0.004200066681951204
Anyuan,0.05,-0.00265467823483042,-0.0017008441500365199
Anyuan,0.06,-0.0007005208125337322,0.0
Anyuan,0.07,0.0004181696311569883,0.0015323905553668376
Anyuan,0.08,0.0019375165738165171,0.00282200680114326
Anyuan,0.09,0.0032794215157627322,0.003913449775427531
Anyuan,0.1,0.004413925390690541,0.004768126457929522
Anyuan,0.11,0.005434485357254724,0.005773641839623426
Anyuan,0.12,0.006385891418904006,0.0066941942647099
Anyuan,0.13,0.007215756997465996,0.0073594376817345515
Anyuan,0.14,0.007917667329311352,0.007991716340184168
Anyuan,0.15,0.0086625654250383,0.008673100546002361
Anyuan,0.16,0.009253519065678072,0.009208334311842899
Anyuan,0.17,0.00980351351201528,0.009653786793351141
Anyuan,0.18,0.010398186035454247,0.010195905864238684
Anyuan,0.19,0.010982048921286992,0.010806972309946924
Anyuan,0.2,0.01152512021362774,0.011276653222739621
Anyuan,0.21,0.012015066556632491,0.011795793920755296
Anyuan,0.22,0.012546443939208911,0.012263297922909176
Anyuan,0.23,0.01303258635103697,0.012821074239909564
Anyuan,0.24,0.013526928573846742,0.013308732062578196
Anyuan,0.25,0.0140005350112915,0.0137574411928653
Anyuan,0.26,0.01445909865200517,0.01427928391844033
Anyuan,0.27,0.014870869629085045,0.014720325581729378
Anyuan,0.28,0.015288659185171055,0.015040965527295972
Anyuan,0.29,0.01568219758570192,0.015450331382453369
Anyuan,0.3,0.01607667878270142,0.015841380879282923
Anyuan,0.31,0.016457490548491428,0.016155143007636038
Anyuan,0.32,0.01684702344238754,0.01655194759368891
Anyuan,0.33,0.017252454757690366,0.01689294777810567
Anyuan,0.34,0.0176500687003135,0.017253540158271713
Anyuan,0.35000000000000003,0.01801031529903406,0.01764790862798684
Anyuan,0.36,0.018371090218424785,0.01800560973584644
Anyuan,0.37,0.01875719562172885,0.018367095738649343
Anyuan,0.38,0.01911044053733342,0.018782692179083744
Anyuan,0.39,0.019437339678406676,0.019098980054259283
Anyuan,0.4,0.01976678408682346,0.019410942122340125
Anyuan,0.41000000000000003,0.020085541978478384,0.01972866199910639
Anyuan,0.42,0.02040912538766854,0.020082925707101792
Anyuan,0.43,0.020735789090394956,0.02046433165669439
Anyuan,0.44,0.021076405569910958,0.020839622542262067
Anyuan,0.45,0.021375764906406382,0.02110896967351436
Anyuan,0.46,0.021681724190711932,0.02139945566654201
Anyuan,0.47000000000000003,0.021980247274041093,0.021721693947911208
Anyuan,0.48,0.022290496677160192,0.02202505975961682
Anyuan,0.49,0.022591108530759758,0.022334216982126197
Anyuan,0.5,0.0228722691535949,0.0225835535675287
Anyuan,0.51,0.023154862895607895,0.022851960286498052
Anyuan,0.52,0.02343336336314675,0.023087132647633513
Anyuan,0.53,0.02371339857578274,0.02337244167923919
Anyuan,0.54,0.02399510607123373,0.023664275258779493
Anyuan,0.55,0.0242819983512163,0.0239819917827844
Anyuan,0.56,0.024575967192649772,0.024282912313938112
Anyuan,0.5700000000000001,0.024866842254996274,0.024590321183204582
Anyuan,0.58,0.025154565572738586,0.024906070083379694
Anyuan,0.59,0.02543944455683224,0.025187408104538886
Anyuan,0.6,0.02570016458630556,0.02547626905143258
Anyuan,0.61,0.025984396636486006,0.025754719898104617
Anyuan,0.62,0.026242386475205354,0.026047670543193808
Anyuan,0.63,0.026506292819976733,0.026321421116590485
Anyuan,0.64,0.026758207082748352,0.02660003952682017
Anyuan,0.65,0.0270373813807964,0.02685820832848546
Anyuan,0.66,0.027300294786691597,0.02714559219777577
Anyuan,0.67,0.02757578440010545,0.027422548383474268
Anyuan,0.68,0.027841298133134774,0.02763298235833644
Anyuan,0.6900000000000001,0.02813062272965903,0.02793098993599408
Anyuan,0.7000000000000001,0.028425773233175203,0.02826348841190332
Anyuan,0.71,0.028708821311593056,0.028575980514287926
Anyuan,0.72,0.028986355364322598,0.02882175609469413
Anyuan,0.73,0.029258074313402088,0.02910726100206374
Anyuan,0.74,0.029530571550130797,0.02938160762190818
Anyuan,0.75,0.0297849774360656,0.029636014252901
Anyuan,0.76,0.03007727757096288,0.029917647615075087
Anyuan,0.77,0.03034927368164059,0.030187459439039156
Anyuan,0.78,0.03061778388917444,0.03049059465527532
Anyuan,0.79,0.0309047728776931,0.03076543189585206
Anyuan,0.8,0.031215925887227002,0.03108479194343086
Anyuan,0.81,0.031504215002059896,0.03142750546336168
Anyuan,0.8200000000000001,0.03179789185523986,0.03171985462307926
Anyuan,0.8300000000000001,0.032137558013200715,0.03206951439380644
Anyuan,0.84,0.03246759295463554,0.032420863658189754
Anyuan,0.85,0.03281616047024718,0.032745261490344915
Anyuan,0.86,0.03312330693006512,0.03313184544444082
Anyuan,0.87,0.033441847711801496,0.03346066564321511
Anyuan,0.88,0.03378050416707987,0.03380203172564503
Anyuan,0.89,0.034124211817979797,0.03418584495782843
Anyuan,0.9,0.03448943495750426,0.03455453440546982
Anyuan,0.91,0.034857699573039934,0.03495666667819018
Anyuan,0.92,0.03527433082461352,0.035365199595689734
Anyuan,0.93,0.03568927556276313,0.03584984287619588
Anyuan,0.9400000000000001,0.03615158736705774,0.036362846046686104
Anyuan,0.9500000000000001,0.03670619577169414,0.036888200044631884
Anyuan,0.96,0.037265274971723515,0.03749291509389871
Anyuan,0.97,0.03799507409334177,0.03822658538818357
Anyuan,0.98,0.03892274126410474,0.03910863921046252
Anyuan,0.99,0.040217315703630414,0.04062784433364868
Anyuan,1.0,0.0460663735866546,0.044824406504631
Ganxian,0.0,-0.0461560972034931,-0.0443958304822444
Ganxian,0.01,-0.018915097415447217,-0.02466307617723936
Ganxian,0.02,-0.012422381490468924,-0.0200044717639684
Ganxian,0.03,-0.00823634322732679,-0.016354077123105458
Ganxian,0.04,-0.005004931166768058,-0.01294091790914534
Ganxian,0.05,-0.00265467823483042,-0.0105944853276014
Ganxian,0.06,-0.0007005208125337322,-0.008402988873422139
Ganxian,0.07,0.0004181696311569883,-0.006374992569908428
Ganxian,0.08,0.0019375165738165171,-0.004536565206944919
Ganxian,0.09,0.0032794215157627322,-0.0028702821815386097
