sample_id,year,kndvi_mean,nbr_mean,ndmi_mean,bsi_mean,expected_eci_spectral,expected_regain_annual
cell_00001,2000,0.4984525395467328,0.5847619721599773,0.2590420399362688,-0.2062614344088769,0.6827637188337081,0.5901418605810413
cell_00001,2001,0.4836204967567681,0.5625019181176093,0.2311061110257294,-0.1820658516818655,0.626490838504148,0.409766611685004
cell_00001,2002,0.4515546674051025,0.5392115698630181,0.220837527104478,-0.1642956727461176,0.5768757241698712,0.2507319480132842
cell_00001,2003,0.3824398366313909,0.5217762739110998,0.1933523942483206,-0.1471950972727193,0.4986531909137632,0.0
cell_00001,2004,0.369474597013286,0.5231378970899562,0.2092149151509585,-0.1515030126145023,0.506299294644168,0.0245085706539212
cell_00001,2005,0.4769836778204206,0.5906182585336947,0.2664779698829684,-0.2167469941986891,0.6865039459385286,0.6021306621317825
cell_00001,2006,0.4579474855851458,0.5706425306116824,0.2424312756132997,-0.1967951989375126,0.6347667489245503,0.4362939440905788
cell_00001,2007,0.4501390023758427,0.5528253716338327,0.2382158993348542,-0.1805143187573439,0.6067092864474389,0.3463594721378126
cell_00001,2008,0.4467046726806727,0.5636396875303692,0.233467739948043,-0.1867160185484748,0.6116895035195867,0.3623228969471354
cell_00001,2009,0.3929585576193206,0.5266858627642923,0.213810723804404,-0.1561798119412402,0.5274759290874419,0.0923874616244162
cell_00001,2010,0.447029731982549,0.5407258593082347,0.214583642334657,-0.1633462423036808,0.5702325088701251,0.229438003112223
cell_00001,2011,0.4683727420855773,0.5910287738154331,0.2628827309020348,-0.2201208220135719,0.681764937387878,0.5869403992229365
cell_00001,2012,0.5607429558889079,0.5882325282776458,0.2627652047281373,-0.2207982726712164,0.7311274172753022,0.7451652767069956
cell_00001,2013,0.5048429185596619,0.5428074858087625,0.223983344268531,-0.1873671845187415,0.6256951706832956,0.4072162040928512
cell_00001,2014,0.5230651097972226,0.5926132949339813,0.2729086814931385,-0.2261149520219791,0.723607082064417,0.7210598403493603
cell_00001,2015,0.5134218601032942,0.5759679509814846,0.2660067918850745,-0.2203010884470466,0.7003296786746157,0.6464472133521365
cell_00001,2016,0.5539162888984724,0.5897637020668394,0.2667049287160577,-0.2285308572062093,0.7361801231925701,0.7613610548880341
cell_00001,2017,0.4747280739343086,0.5473023903365957,0.256230471832605,-0.2021695324186992,0.6441937149552728,0.4665108324774496
cell_00001,2018,0.491694242213855,0.5652389474666996,0.2596694793292796,-0.209032920148171,0.670478649412545,0.5507637011271459
cell_00001,2019,0.551515545057969,0.6346466691327782,0.3082751500548282,-0.2608780993736745,0.8106299209472394,1.0
cell_00001,2020,0.5197510820109376,0.6050619502154099,0.300461049715418,-0.2468067740087381,0.7618658229582296,0.8436931562691318
cell_00001,2021,0.5335904346884868,0.6094741005019982,0.3007937174399122,-0.2519507551341838,0.7755766258967566,0.8876413152778366
cell_00001,2022,0.5057495627109252,0.5899401163089205,0.282265279069429,-0.2288815539270249,0.7210398314726063,0.7128308593239637
cell_00001,2023,0.5190345933306852,0.583995108219501,0.2681570987058873,-0.2231057959219308,0.711258233388715,0.6814772449603484
cell_00001,2024,0.5234909088029733,0.5894720669854244,0.2836949486971238,-0.2352740566680139,0.7357695174290043,0.7600449126119043
cell_00001,2025,0.5173993787994828,0.5899498261809704,0.2847904414517598,-0.2345242951513249,0.7329664479113873,0.7510600453196669
cell_00002,2000,0.419070043377957,0.5359309423006078,0.2362944393164657,-0.1697563894760686,0.5717406985512693,0.5516943848066189
cell_00002,2001,0.3858913487017412,0.5118449326563788,0.2024606214697453,-0.1381180049548655,0.4952989157690667,0.3973432432784725
cell_00002,2002,0.3633267357544368,0.4739361742020268,0.1816369640080535,-0.1153749275713675,0.4320205247034928,0.2695716040054308
cell_00002,2003,0.2905460973824736,0.4300472502507183,0.1361140425664394,-0.0841571308990739,0.3149730535603159,0.0332295129868733
cell_00002,2004,0.2667521032780167,0.4259031995578922,0.1394309815779296,-0.0790117563592,0.2985162707432108,0.0
cell_00002,2005,0.4298071845675477,0.5555336061984041,0.2436553000063863,-0.1852475032982156,0.6040676364510428,0.6169688928744926
cell_00002,2006,0.390908241741883,0.518125640756068,0.2161996561721851,-0.1558223656176154,0.5230144284975647,0.4533063680510875
cell_00002,2007,0.4093008632101498,0.5073394719716312,0.206112846578608,-0.1446520262904323,0.512529763015836,0.4321357460856567
cell_00002,2008,0.3836274530334816,0.4838814320450368,0.1778305921224646,-0.1263180290216873,0.4533398037969094,0.3126194627138249
cell_00002,2009,0.3312738325238392,0.4578301867212223,0.1679697574236227,-0.107976344352601,0.3909858144442011,0.1867143740943428
cell_00002,2010,0.3937739223324487,0.5254395799571138,0.2187604282715893,-0.1576238468679402,0.5316573554529168,0.4707581541443545
cell_00002,2011,0.4475490860496409,0.6088780293604504,0.2975285865661243,-0.2437589630353925,0.7203875351871621,0.8518418707001557
cell_00002,2012,0.5385200467106831,0.6156607439486225,0.3118428820273039,-0.2583855822434484,0.7937622535418751,1.0
cell_00002,2013,0.511105131985546,0.5996209200712996,0.3012284837793263,-0.2470702629357995,0.7548149577819756,0.9213576745442617
cell_00002,2014,0.4548027912146096,0.5453508400398523,0.2610494516881488,-0.2033263451052129,0.63634790832342,0.6821491729647208
cell_00002,2015,0.457157646556376,0.5590768343449233,0.2777316100275496,-0.2146026055272335,0.6645101375516481,0.7390143070725871
cell_00002,2016,0.5244102521559469,0.5903105244367985,0.2895804701558134,-0.2388404398221395,0.743245990191653,0.8979976312685027
cell_00002,2017,0.4575894536253597,0.5411373521904084,0.2571279732033877,-0.1985075024715211,0.6295535190656192,0.6684299516206014
cell_00002,2018,0.4848870780816717,0.5650783463993785,0.273625439189715,-0.2172086903493089,0.6819030492146919,0.7741340501238188
cell_00002,2019,0.488586244522,0.5725289043205725,0.2695254545293334,-0.2139114235168353,0.6830035681030147,0.7763562163332318
cell_00002,2020,0.4451026721206705,0.5267461375018166,0.2471823781322587,-0.1862764265982505,0.5995490814939645,0.6078450329866372
cell_00002,2021,0.4931792343685616,0.5818481824172426,0.2807803839796126,-0.2254790109711731,0.7063327324632666,0.8234624325783741
cell_00002,2022,0.499013354173088,0.5865239284529743,0.2917864636059115,-0.23444239793525,0.7258345983010176,0.8628405729674083
cell_00002,2023,0.5132727172975665,0.5835004793999754,0.2791860515958164,-0.2292673126689685,0.7196717390134753,0.8503965360613124
cell_00002,2024,0.4926701944123372,0.56151990771057,0.2700924033465942,-0.2163615713027808,0.6811399372428453,0.7725931754911075
cell_00002,2025,0.4821578445314035,0.5558383585799003,0.2678142889154757,-0.2104960364660986,0.6666980300308485,0.7434320965250859
cell_00003,2000,0.5062317991995523,0.5881931970609525,0.2525759148116216,-0.2040702139268405,0.6829422480393375,0.5880611095017162
cell_00003,2001,0.4505244371053447,0.5491069862372114,0.2204510911147092,-0.1690046418863503,0.5847110037794633,0.301520363476844
cell_00003,2002,0.4683488154613353,0.5531170982434317,0.2288154790472002,-0.1787530659016045,0.6090812334961058,0.3726083747956288
cell_00003,2003,0.3954631749103799,0.5240228166494908,0.1877541082811882,-0.1468857560711285,0.5029087538925261,0.0629030285777205
cell_00003,2004,0.4370434482369494,0.5546784069824733,0.2184744598132869,-0.1737962094897149,0.5822653501138334,0.2943863865925228
cell_00003,2005,0.5354226233338958,0.6044028472911318,0.2666383877235553,-0.2377808018233828,0.7403677835737177,0.7555715173854592
cell_00003,2006,0.5088429832285363,0.5866273498217419,0.2419101989157692,-0.2013673677849956,0.6742266578959343,0.5626377147299786
cell_00003,2007,0.4562922770885631,0.5273780062465226,0.195435292948183,-0.151590631648902,0.5465923157901343,0.1903280704722308
cell_00003,2008,0.424258156997306,0.5007369282925215,0.1708433622549153,-0.1282033670459987,0.4813444812694362,0.0
cell_00003,2009,0.4066483480574988,0.5166700277656031,0.1991469877205958,-0.1491373899051931,0.514409811429069,0.0964516375913412
cell_00003,2010,0.4590641085508969,0.5712827465076963,0.2415809482258279,-0.1877157364021692,0.6290587086398561,0.430882711790074
cell_00003,2011,0.4725048158776287,0.6350008147156121,0.3057395309946129,-0.2572933276102734,0.7634139274758853,0.8227971675996972
cell_00003,2012,0.5498344002792368,0.5685203117193562,0.243059354896807,-0.2064016367578875,0.6907423458145969,0.6108140111108712
cell_00003,2013,0.50354201454208,0.5544809000313033,0.2487982575422183,-0.2071322049158117,0.6620876819991184,0.5272282965182986
cell_00003,2014,0.5161453977857109,0.5902090721027614,0.2723156148264914,-0.2247792087141731,0.717170675693519,0.687905504929922
cell_00003,2015,0.5344111917073908,0.5975956145604807,0.2818643320875569,-0.2412589901766552,0.7490013745730811,0.7807557204816401
cell_00003,2016,0.5557418034320319,0.6027219232415075,0.2806929929692197,-0.2439725732096471,0.7645298608347061,0.8260523475534868
cell_00003,2017,0.4869223330081008,0.5557341945046428,0.2620323899836481,-0.2115221757478782,0.6658897044239829,0.5383188039249016
cell_00003,2018,0.502078221203787,0.579327909809127,0.2718362896326152,-0.221368525956553,0.7007877871606558,0.6401165846366003
cell_00003,2019,0.5399604451111908,0.6180350009119666,0.2963335911508494,-0.2490370629317305,0.778762603258838,0.8675692871272278
cell_00003,2020,0.5032190311879204,0.5825798695649589,0.2700073597392022,-0.2198801154033385,0.7009483135074576,0.6405848403277073
