sample_id,regain_sen_slope_2000_2025,prcp_mm_mean_2000_2025,prcp_mm_slope_2000_2025,tmean_c_mean_2000_2025,tmean_c_slope_2000_2025,vpd_kpa_mean_2000_2025,vpd_kpa_slope_2000_2025,ssrd_wm2_mean_2000_2025,ssrd_wm2_slope_2000_2025,pet_mm_mean_2000_2025,pet_mm_slope_2000_2025,def_mm_mean_2000_2025,def_mm_slope_2000_2025,aet_mm_mean_2000_2025,aet_mm_slope_2000_2025,pdsi_mean_2000_2025,pdsi_slope_2000_2025,runoff_mm_mean_2000_2025,runoff_mm_slope_2000_2025,soil_water_rootzone_mean_2000_2025,soil_water_rootzone_slope_2000_2025,soil_water_top_mean_2000_2025,soil_water_top_slope_2000_2025,mndwi_mean_2000_2025,mndwi_slope_2000_2025,hydro_hand_m,hydro_log_upstream_area,hydro_stream_distance_km,hydro_twi_proxy,elevation_mean,slope_mean,terrain_northness_mean,terrain_eastness_mean,terrain_tpi_1km,terrain_tpi_5km,cropland_frac_mean_2000_2025,cropland_frac_slope_2000_2025,forest_frac_mean_2000_2025,forest_frac_slope_2000_2025,shrub_frac_mean_2000_2025,shrub_frac_slope_2000_2025,grass_frac_mean_2000_2025,grass_frac_slope_2000_2025,water_frac_mean_2000_2025,water_frac_slope_2000_2025,barren_frac_mean_2000_2025,barren_frac_slope_2000_2025,built_frac_mean_2000_2025,built_frac_slope_2000_2025,wetland_frac_mean_2000_2025,wetland_frac_slope_2000_2025,pop_log_density_2000,pop_log_change_2000_2020_per_year,ntl_viirs_mean_2014_2025,ntl_viirs_slope_2014_2025,road_dist_km,mdist_km,mcnt2k,mkde3k,mining_disturbance_intensity_2000_2025
cell_00005,0.0231505911797285,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8378363626353496,0.042441151728602,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4855762879893943,-0.001986464462805,40.91108172910311,0.0604053970789606,20.0,-1.8886773459614377,298.3403621740623,16.311213070120132,-0.7326297336507516,0.0315077118754648,9.513932424936236,-97.85985553239338,0.0247334205919277,0.0001811490280718,0.9752665794426796,-0.0001811490280718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.6069860888265095,0.0038895892676912,0.2441225151294457,0.0363150092794194,0.3644680636919794,5.049315656034983,0,0.0081267789657613,0.0
cell_00014,0.0219081472605466,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8447678685188293,0.0421129241585731,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4522006353470136,-0.0025867402459417,18.613178909094632,0.4676946469219017,16.397058823529413,-0.8439564435043253,264.34243245650885,13.881357509795356,-0.4194002796008728,-0.0181374849195326,-13.45023595138002,-132.21823014393115,0.127105793820671,0.001896333143901,0.8728942073782354,-0.001896333143901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2494092313050283,0.0365385788295356,0.5829758741787523,4.550578968736354,0,0.0109195812694012,0.0
cell_00062,0.028035944327712,1625.642083671802,-2.507365059087737,18.33025426282765,0.0337850805835146,0.487144487278465,0.0015725393126201,159.7248310871475,-0.1006859249871387,2313.1022726015785,2.883016585476458,694.1041293387253,5.286907663172876,1029.458761557079,0.141419960406427,-0.8097924590110779,0.0426948219537735,612.1632579150598,-2.13003336462644,0.331107157156862,-7.787735893179811e-06,0.3324133154273538,-0.0001491581989749,-0.4957943113854419,-0.0006849602235177,59.58531294503005,0.0494189649048397,20.0,-1.994988185993516,283.5728778178023,18.891774718184045,-0.3480148038841373,0.2037608042259238,8.691868011212922,-56.346981779655614,0.0089560658037518,-9.736430284537315e-05,0.9910439337579648,9.736430284537315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.234958754059441,0.031931949523286,0.4935793550234535,4.037464534753569,0,0.0092737017252328,0.0
cell_00071,0.0148571822792291,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8447678685188293,0.0421129241585731,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4521306021483157,-0.0009434438631533,66.01351726467837,0.1554121302394834,20.0,-1.3172962300651017,395.33177659290186,20.03415766533625,-0.0805368730562802,-0.8498511535698654,-81.32659605591414,-10.033165144831072,0.0401432490014187,0.0019166277364845,0.9598567510188236,-0.0019166277364845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2304464304767293,0.031552905225176,2.302622282321429,3.5518875397846403,0,0.0289307563159156,0.0
cell_00076,0.0161168277263641,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8447678685188293,0.0421129241585731,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4661835904663569,-0.0022211890913902,97.4190567236867,0.0957110030061235,20.0,-2.1298107802335395,563.6828759632749,26.61362799144312,0.5794849560137106,0.2322492324946167,-31.502535702788776,117.85132781432836,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2217061374545896,0.0321763712544355,4.528960821414647,4.133144321389182,0,0.0311070163455054,0.0
cell_00084,0.0159085765480995,1540.7237126277043,-3.222971963474893,18.707219930795524,0.0329161906446147,0.5247156620025635,0.0018118768930435,160.09454345703125,-0.099122330546379,2275.061222956731,3.293678635817307,737.0289817956777,6.684118289132405,1034.0934917743389,0.1503980535523495,-0.8097924590110779,0.0426948219537735,507.4991149902344,-3.054628372192383,0.4117177724838257,-3.410083445487544e-05,0.4086621105670929,-0.0002149237843696,-0.4913261892808907,-0.0008854569399255,72.64434551660472,0.0297579409725786,20.0,-2.400226684672621,328.749260026169,20.37261061516111,-0.6265452843676284,-0.2996753769158035,27.92902407846771,-9.09043611507357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2368788253942011,0.0322344996260729,0.678950889850276,4.872546064484528,0,0.0056225445378878,0.0
cell_00129,0.0023201406002044,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8197208642959595,0.0435210466384887,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4696117798636949,-0.0026506275702486,58.09088065250484,0.0952653044102904,20.0,-1.4364620222755928,368.5856655811114,18.81006172720973,0.4678834204767036,0.3001480165154297,-54.94497335840903,-63.00913475108941,0.0217818900168058,0.0033434321400935,0.978218105460697,-0.0033434321400935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2297209483928592,0.0349062788922304,3.681057398543225,3.3292992578845206,0,0.0410609313525725,0.0
cell_00145,0.0127079132944345,1644.4334810697114,-2.3490099993322637,18.24683636885423,0.0339773553049463,0.4838749170303345,0.001551711349748,159.69265747070312,-0.1008219942450523,2321.5202918419477,2.792142094017098,684.6053842397837,4.97772203233507,1028.43315241887,0.1394332181490384,-0.8238568280677312,0.0424608282576271,621.271484375,-2.049571990966797,0.324092149734497,-5.497881375049474e-06,0.3257778882980346,-0.0001434350560884,-0.4238872658423147,-0.0026302607852104,109.1505364403192,0.034808473269056,20.0,-2.4382181626060904,362.4103954284551,22.759826229920755,-0.4301997877638973,-0.8243534575510229,-19.63684836577156,13.285559087224527,0.0026951909198758,0.0003844212161097,0.9973048090535732,-0.0003844212161097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7901531765837341,-0.0035547346775089,0.2699702072691667,0.0394013543778753,0.934942105593742,1.5460657804551914,1,0.0326570648305948,0.0
cell_00199,0.010761666111648,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.8006670475006104,0.0428187288343906,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4773746056140515,-0.0010906783898917,132.50139978688068,0.0269757675930542,20.0,-2.555581861360388,401.6318176044711,22.29475787667721,0.1117276923521435,0.5218289036929203,51.80238852159258,79.78496177807035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2516310196084254,0.0321897396875265,0.8878938819709774,2.225433293380417,0,0.0214700974704463,0.0
cell_00211,0.0157465692609548,1580.3051100510818,-2.1920512820512825,18.517726604755108,0.0338710152389656,0.5069360136985779,0.0015993019333109,160.7229461669922,-0.0990033075213432,2351.446124737079,3.580784046140493,773.7288982317998,5.933856447986051,952.6389747032752,0.0521840569911864,-0.7905300855636597,0.0435277037322521,644.3995971679688,-1.807969570159912,0.330917626619339,5.742576377087971e-06,0.3327181935310364,-0.0001597363880136,-0.4857725170062812,-0.0034129120293555,123.23143889115596,0.0175609781242879,20.0,-2.48890136794422,434.7717501778636,18.71064694334604,-0.0315470833721956,0.2209956721820857,43.93989640909736,55.9072467305459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2396932797523187,0.0349380356175608,2.135287021298515,1.6677654171149998,4,0.0684250520200235,0.0
