panel,feature_x,feature_y,grid_points_with_observed_cells_pct,range_full,range_within_support,range_retained_pct,reproduction_max_abs_error,forest_contrast_original,forest_contrast_closure,forest_contrast_original_min,forest_contrast_original_max,second_contrast_at_forest95_original,second_contrast_at_forest95_closure,closure_surface_min,closure_surface_max,shape_correlation
a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,97.26353361094586,0.0256669600494206,0.0255144559778272,99.40583508409388,9.97465998686664e-17,0.0196572988373568,0.0345119807994129,0.0185970738530159,0.0207796660251915,0.0042901430279016,0.0048688780516386,-0.0073476252146065,0.0315496362745761,0.990231244210628
b,forest_frac_slope_2000_2025,slope_mean,91.31469363474125,0.02379154227674,0.02379154227674,100.0,9.97465998686664e-17,0.0194420063323,0.0343387427824271,0.0175637518987059,0.0212955768220126,-0.0023506674915552,-0.0019922722131013,-0.0104452203959226,0.031103391200304,0.9973357463923092
c,mndwi_mean_2000_2025,terrain_northness_mean,99.58358120166568,0.0088006937876343,0.0087879681959748,99.85540240387095,,,,,,,,,,
d,ssrd_wm2_slope_2000_2025,pdsi_slope_2000_2025,46.81737061273052,0.0042699091136455,0.0041814558207989,97.92845022007783,,,,,,,,,,
e,forest_frac_slope_2000_2025,ssrd_wm2_slope_2000_2025,91.43367043426532,0.0210114042274653,0.0210111881606279,99.99897166874206,9.887923813067799e-17,0.019725994343256,0.0345169508080111,0.0192779512144625,0.0201593958772718,-0.001332463696599,-0.0011645182967185,-0.0049367416650056,0.030628191307187,0.9994180814408864
f,forest_frac_slope_2000_2025,pop_log_density_2000,95.1219512195122,0.0206721755675972,0.0206721755675972,100.0,9.887923813067799e-17,0.0192042491171599,0.0332699614355522,0.0187355279922485,0.0198676730506122,0.00068174675107,0.0003306251019239,-0.0046559404581785,0.0306847766041755,0.9997151734159024
