pair_number,panel,feature_x,feature_y,x,y,predicted_original,predicted_joint_land_cover_change
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0092343238920763,-0.0052469340192418,0.0025526448152959347,-0.0073476252146065235
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0088549641192882,-0.0052469340192418,0.0027184600476175547,-0.007000898476690054
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0084756043465002,-0.0052469340192418,0.002985926577821374,-0.006477158982306719
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0080962445737121,-0.0052469340192418,0.003472936572507024,-0.0055412184447050095
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924,-0.0052469340192418,0.004070605617016554,-0.004607930779457092
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007337525028136,-0.0052469340192418,0.004310243763029575,-0.004112347960472107
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0069581652553479,-0.0052469340192418,0.004618386272341013,-0.0032973408233374357
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0065788054825598,-0.0052469340192418,0.004817652981728315,-0.0029442808590829372
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0061994457097717,-0.0052469340192418,0.004837998654693365,-0.002513990504667163
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0058200859369837,-0.0052469340192418,0.005511097609996796,-0.0012404511217027903
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0054407261641956,-0.0052469340192418,0.006958835758268833,0.001260856632143259
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0050613663914075,-0.0052469340192418,0.006949679926037788,0.001453250297345221
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0046820066186195,-0.0052469340192418,0.008263617753982544,0.0030267315451055765
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314,-0.0052469340192418,0.008794900961220264,0.004190672188997269
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0039232870730433,-0.0052469340192418,0.008946225978434086,0.004651668015867472
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553,-0.0052469340192418,0.009582209400832653,0.005811349488794804
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0031645675274672,-0.0052469340192418,0.010098444297909737,0.006646228488534689
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0027852077546791,-0.0052469340192418,0.0118245929479599,0.008441942743957043
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0024058479818911,-0.0052469340192418,0.012063471600413322,0.008995826356112957
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103,-0.0052469340192418,0.012789991684257984,0.010123459622263908
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149,-0.0052469340192418,0.013516136445105076,0.011335174553096294
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269,-0.0052469340192418,0.01517331600189209,0.013527723960578442
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388,-0.0052469340192418,0.016203759238123894,0.014835544861853123
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507,-0.0052469340192418,0.01704045571386814,0.016061658039689064
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0001296893451627,-0.0052469340192418,0.01830996386706829,0.018273187801241875
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253,-0.0052469340192418,0.020658452063798904,0.02158660627901554
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134,-0.0052469340192418,0.0209449864923954,0.02228451706469059
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0010083899732014,-0.0052469340192418,0.021779272705316544,0.023382611572742462
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0013877497459895,-0.0052469340192418,0.021987654268741608,0.0237147007137537
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0017671095187776,-0.0052469340192418,0.02204616740345955,0.024047043174505234
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0021464692915656,-0.0052469340192418,0.022179635241627693,0.024355854839086533
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0025258290643537,-0.0052469340192418,0.02234962210059166,0.02467094175517559
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0029051888371418,-0.0052469340192418,0.02266155369579792,0.0250705499202013
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0032845486099298,-0.0052469340192418,0.022904910147190094,0.025394560769200325
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0036639083827179,-0.0052469340192418,0.02291249670088291,0.025489354506134987
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004043268155506,-0.0052469340192418,0.023023860529065132,0.025733664631843567
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004422627928294,-0.0052469340192418,0.023151684552431107,0.025886988267302513
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0048019877010821,-0.0052469340192418,0.023177096620202065,0.02602306939661503
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0051813474738702,-0.0052469340192418,0.023306194692850113,0.02638431265950203
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0055607072466582,-0.0052469340192418,0.023306407034397125,0.026472758501768112
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0059400670194463,-0.0052469340192418,0.023286694660782814,0.026615841314196587
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0092343238920763,-0.0051181110650912,0.0027051488868892193,-0.007341346703469753
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0088549641192882,-0.0051181110650912,0.0028818054124712944,-0.006994223687797785
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0084756043465002,-0.0051181110650912,0.00314927170984447,-0.006469699554145336
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0080962445737121,-0.0051181110650912,0.0036574325058609247,-0.0055327084846794605
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924,-0.0051181110650912,0.0042551010847091675,-0.0045984177850186825
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007337525028136,-0.0051181110650912,0.004494739230722189,-0.004101881291717291
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0069581652553479,-0.0051181110650912,0.004935171455144882,-0.0032330171670764685
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0065788054825598,-0.0051181110650912,0.005134437698870897,-0.002884969813749194
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0061994457097717,-0.0051181110650912,0.005154783837497234,-0.0024572229012846947
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0058200859369837,-0.0051181110650912,0.005827882792800665,-0.0011841247323900461
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0054407261641956,-0.0051181110650912,0.007275620475411415,0.0013180227251723409
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0050613663914075,-0.0051181110650912,0.007267375010997057,0.0015134442364796996
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0046820066186195,-0.0051181110650912,0.008649155497550964,0.003157519968226552
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314,-0.0051181110650912,0.00918043963611126,0.004323746543377638
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0039232870730433,-0.0051181110650912,0.009331765584647655,0.004797456786036491
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553,-0.0051181110650912,0.009979268535971642,0.0060440609231591225
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0031645675274672,-0.0051181110650912,0.010495503433048725,0.006895983126014471
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0027852077546791,-0.0051181110650912,0.012271975167095661,0.008755192160606384
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0024058479818911,-0.0051181110650912,0.012545415200293064,0.009354798123240471
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103,-0.0051181110650912,0.013251746073365211,0.010486150160431862
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149,-0.0051181110650912,0.01397716160863638,0.011738322675228119
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269,-0.0051181110650912,0.015566499903798103,0.013839381746947765
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388,-0.0051181110650912,0.016619304195046425,0.015169642865657806
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507,-0.0051181110650912,0.017434850335121155,0.016412833705544472
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0001296893451627,-0.0051181110650912,0.01869351789355278,0.018646452575922012
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253,-0.0051181110650912,0.021129567176103592,0.022063858807086945
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134,-0.0051181110650912,0.02141610160470009,0.022751804441213608
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0010083899732014,-0.0051181110650912,0.02197788655757904,0.02357415109872818
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0013877497459895,-0.0051181110650912,0.022186269983649254,0.0239042229950428
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0017671095187776,-0.0051181110650912,0.02224428579211235,0.02423400804400444
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0021464692915656,-0.0051181110650912,0.022377755492925644,0.02454286813735962
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0025258290643537,-0.0051181110650912,0.022547738626599312,0.024858111515641212
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0029051888371418,-0.0051181110650912,0.02285967394709587,0.02525891549885273
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0032845486099298,-0.0051181110650912,0.023103028535842896,0.025583311915397644
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0036639083827179,-0.0051181110650912,0.023110615089535713,0.025678925216197968
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004043268155506,-0.0051181110650912,0.023221978917717934,0.0259243231266737
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004422627928294,-0.0051181110650912,0.023349802941083908,0.02607879973948002
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0048019877010821,-0.0051181110650912,0.023375215008854866,0.02621610090136528
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0051813474738702,-0.0051181110650912,0.023504314944148064,0.026578960940241814
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0055607072466582,-0.0051181110650912,0.023504523560404778,0.026667963713407516
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0059400670194463,-0.0051181110650912,0.023484814912080765,0.026813030242919922
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0092343238920763,-0.0049892881109406,0.0030424045398831367,-0.007063789293169975
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0088549641192882,-0.0049892881109406,0.003219060832634568,-0.006710621528327465
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0084756043465002,-0.0049892881109406,0.003516560420393944,-0.006148071493953466
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0080962445737121,-0.0049892881109406,0.004064684733748436,-0.005169082898646593
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924,-0.0049892881109406,0.004689056891947985,-0.004202062729746103
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007337525028136,-0.0049892881109406,0.00504186050966382,-0.003672452410683036
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0069581652553479,-0.0049892881109406,0.005483041983097792,-0.002800107467919588
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0065788054825598,-0.0049892881109406,0.005682308692485094,-0.002448456361889839
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0061994457097717,-0.0049892881109406,0.0057026538997888565,-0.002017761580646038
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0058200859369837,-0.0049892881109406,0.006433486007153988,-0.0006895391270518303
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0054407261641956,-0.0049892881109406,0.008034245111048222,0.001993970014154911
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0050613663914075,-0.0049892881109406,0.008025416173040867,0.0021898257546126842
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0046820066186195,-0.0049892881109406,0.009347576647996902,0.0038996580988168716
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0043026468458314,-0.0049892881109406,0.009881331585347652,0.005051890853792429
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0039232870730433,-0.0049892881109406,0.010032656602561474,0.005519384518265724
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0035439273002553,-0.0049892881109406,0.010605834424495697,0.0066344416700303555
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0031645675274672,-0.0049892881109406,0.011101320385932922,0.0074546728283166885
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0027852077546791,-0.0049892881109406,0.012813113629817963,0.009238488040864468
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0024058479818911,-0.0049892881109406,0.013086555525660515,0.009848007932305336
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.002026488209103,-0.0049892881109406,0.013851035386323929,0.011028943583369255
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0016471284363149,-0.0049892881109406,0.014623774215579033,0.01231064647436142
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0012677686635269,-0.0049892881109406,0.015790028497576714,0.013987134210765362
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0008884088907388,-0.0049892881109406,0.01684243232011795,0.015316158533096313
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0005090491179507,-0.0049892881109406,0.0176601130515337,0.016566595062613487
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0001296893451627,-0.0049892881109406,0.018889890983700752,0.018775522708892822
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0002496704276253,-0.0049892881109406,0.021340029314160347,0.022213729098439217
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0006290302004134,-0.0049892881109406,0.021625814959406853,0.022899484261870384
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0010083899732014,-0.0049892881109406,0.022187601774930954,0.023720942437648773
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0013877497459895,-0.0049892881109406,0.022395983338356018,0.024049390107393265
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0017671095187776,-0.0049892881109406,0.022453997284173965,0.02437787875533104
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0021464692915656,-0.0049892881109406,0.02258746698498726,0.02468627318739891
1,a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0025258290643537,-0.0049892881109406,0.022696278989315033,0.024939464405179024
