year,variable,regional_mean,spatial_median,n_cells,n_unique_cell_values,period_mean,annual_sd,anomaly,anomaly_z,anomaly_percent_of_mean
2000,prcp_mm_mean,1812.9084600831866,1813.560791015625,38281,3772,1608.0990515994197,270.5404419967847,204.8094084837669,0.7570380493656509,12.736118977252234
2000,def_mm_mean,899.4811643532333,670.5325927734375,38281,3404,1506.6567194929214,491.0645771920127,-607.1755551396881,-1.2364474721667298,-40.29952857104957
2000,aet_mm_mean,983.4779463286568,991.384033203125,38281,3772,1000.1715882565758,40.99798900072724,-16.693641927918975,-0.4071819700137696,-1.669077798642339
2000,pet_mm_mean,2644.884478776752,2450.070556640625,38281,3772,3077.808769367371,294.51758698006523,-432.92429059061897,-1.4699437647501912,-14.065990548191353
2000,tmean_c_mean,18.10579631120146,18.175195693969727,38281,3772,18.81482786940324,0.42205940044478096,-0.7090315582017794,-1.6799331029105788,
2001,prcp_mm_mean,1869.0510654887642,1827.238685116944,38281,3772,1608.0990515994197,270.5404419967847,260.95201388934447,0.9645582448351504,16.227359479492314
2001,def_mm_mean,926.5044792470295,616.2407836914062,38281,3242,1506.6567194929214,491.0645771920127,-580.1522402458919,-1.1814174086090612,-38.5059338826131
2001,aet_mm_mean,995.8378963617347,1003.9365844726562,38281,3772,1000.1715882565758,40.99798900072724,-4.333691894841081,-0.10570498701202657,-0.43329484117772715
2001,pet_mm_mean,2700.537125216841,2558.165771484375,38281,3772,3077.808769367371,294.51758698006523,-377.27164415052994,-1.28098171664046,-12.25780002661037
2001,tmean_c_mean,18.380844380773077,18.44778633117676,38281,3772,18.81482786940324,0.42205940044478096,-0.4339834886301617,-1.028252156385605,
2002,prcp_mm_mean,1810.9087273034506,1767.8326101482437,38281,3772,1608.0990515994197,270.5404419967847,202.80967570403095,0.7496464270079122,12.611765146078278
2002,def_mm_mean,909.9471638282955,673.7349416179303,38281,3173,1506.6567194929214,491.0645771920127,-596.7095556646259,-1.2151345940623703,-39.60487800203445
2002,aet_mm_mean,1003.452380235701,1012.1981201171876,38281,3772,1000.1715882565758,40.99798900072724,3.2807919791251834,0.08002324160502086,0.32802291303275416
2002,pet_mm_mean,2610.263232905418,2434.478759765625,38281,3772,3077.808769367371,294.51758698006523,-467.5455364619529,-1.5874961534762244,-15.190857246080776
2002,tmean_c_mean,18.666104728975647,18.74285888671875,38281,3772,18.81482786940324,0.42205940044478096,-0.14872314042759172,-0.35237490332133836,
2003,prcp_mm_mean,1217.0440977760168,1208.5340576171875,38281,3772,1608.0990515994197,270.5404419967847,-391.0549538234029,-1.4454583977801385,-24.317839963555638
2003,def_mm_mean,2248.4801453142563,2108.310791015625,38281,3772,1506.6567194929214,491.0645771920127,741.8234258213349,1.5106433252897251,49.23639314939651
2003,aet_mm_mean,977.3915645954237,976.9276733398438,38281,3772,1000.1715882565758,40.99798900072724,-22.780023661152086,-0.5556375865349885,-2.2776115547193774
2003,pet_mm_mean,3465.524240470088,3355.7745554946628,38281,3772,3077.808769367371,294.51758698006523,387.71547110271695,1.3164425088439962,12.597126727350577
2003,tmean_c_mean,18.931878590982667,18.97227668762207,38281,3772,18.81482786940324,0.42205940044478096,0.11705072157942809,0.27733234103085,
2004,prcp_mm_mean,1349.2937594747345,1344.9310302734375,38281,3772,1608.0990515994197,270.5404419967847,-258.80529212468514,-0.9566233063512218,-16.093865105341408
2004,def_mm_mean,2206.9934151429893,2033.9517822265625,38281,3772,1506.6567194929214,491.0645771920127,700.3366956500679,1.4261600778755155,46.48283093216963
2004,aet_mm_mean,1023.9873471457348,1027.5111083984375,38281,3772,1000.1715882565758,40.99798900072724,23.815758889159042,0.580900660486947,2.381167308568812
2004,pet_mm_mean,3556.204158550478,3362.6982421875,38281,3772,3077.808769367371,294.51758698006523,478.395389183107,1.6243355586621988,15.543375986983069
2004,tmean_c_mean,18.753149042465555,18.79336738586425,38281,3772,18.81482786940324,0.42205940044478096,-0.06167882693768334,-0.14613778741258704,
2005,prcp_mm_mean,1678.4338960993211,1632.63232421875,38281,3772,1608.0990515994197,270.5404419967847,70.33484449990146,0.25997904040068576,4.3737880716953494
2005,def_mm_mean,1458.914756765709,1197.9278564453125,38281,3651,1506.6567194929214,491.0645771920127,-47.74196272721247,-0.09722135324891239,-3.1687352606292722
2005,aet_mm_mean,975.2984553854819,974.7396850585938,38281,3772,1000.1715882565758,40.99798900072724,-24.873132871093844,-0.6066915348129059,-2.4868865665791233
2005,pet_mm_mean,3111.579590683562,2930.4111328125,38281,3772,3077.808769367371,294.51758698006523,33.770821316190904,0.11466487167191385,1.0972358533870945
2005,tmean_c_mean,18.435157970447055,18.50600242614746,38281,3772,18.81482786940324,0.42205940044478096,-0.37966989895618397,-0.8995650814934452,
2006,prcp_mm_mean,1925.7635514468404,1933.1556396484373,38281,3772,1608.0990515994197,270.5404419967847,317.66449984742076,1.174184892664573,19.754038131635657
2006,def_mm_mean,1064.4688134521557,771.0118408203125,38281,3562,1506.6567194929214,491.0645771920127,-442.1879060407657,-0.9004679355396967,-29.34894859059786
2006,aet_mm_mean,992.7341395176643,995.7269197604626,38281,3772,1000.1715882565758,40.99798900072724,-7.437448738911485,-0.18141008669424144,-0.7436172778988742
2006,pet_mm_mean,2936.798562371849,2743.254638671875,38281,3772,3077.808769367371,294.51758698006523,-141.0102069955219,-0.4787836558129425,-4.581512938651672
2006,tmean_c_mean,18.738192823549944,18.78288650512696,38281,3772,18.81482786940324,0.42205940044478096,-0.07663504585329406,-0.18157407647485962,
2007,prcp_mm_mean,1466.8741118193764,1473.5115966796875,38281,3772,1608.0990515994197,270.5404419967847,-141.22493978004331,-0.5220104570603228,-8.782104537626623
2007,def_mm_mean,1949.3541459096307,1730.248291015625,38281,3758,1506.6567194929214,491.0645771920127,442.6974264167093,0.9015055187815121,29.3827665379346
2007,aet_mm_mean,997.1399383973963,1002.4566040039062,38281,3772,1000.1715882565758,40.99798900072724,-3.0316498591794243,-0.07394630646702324,-0.30311297529096676
2007,pet_mm_mean,3415.809325351815,3226.31103515625,38281,3772,3077.808769367371,294.51758698006523,338.00055598444396,1.1476413325609718,10.981856941486274
2007,tmean_c_mean,18.990222463079228,19.000307083129883,38281,3772,18.81482786940324,0.42205940044478096,0.17539459367598909,0.4155685040805918,
2008,prcp_mm_mean,1639.6198588645002,1643.060546875,38281,3772,1608.0990515994197,270.5404419967847,31.52080726508052,0.1165105188430761,1.9601284655774058
2008,def_mm_mean,1546.7965510749923,1310.61328125,38281,3693,1506.6567194929214,491.0645771920127,40.13983158207088,0.0817404338378406,2.6641657029598815
2008,aet_mm_mean,1042.417384755111,1050.963134765625,38281,3772,1000.1715882565758,40.99798900072724,42.24579649853524,1.0304358220542444,4.223854885957613
2008,pet_mm_mean,3176.351729062198,2967.535400390625,38281,3772,3077.808769367371,294.51758698006523,98.542959694827,0.33459108742968546,3.201724573521247
2008,tmean_c_mean,18.247359278285,18.318330764770508,38281,3772,18.81482786940324,0.42205940044478096,-0.5674685911182387,-1.3445230470408203,
2009,prcp_mm_mean,1253.263379921864,1243.1380615234375,38281,3772,1608.0990515994197,270.5404419967847,-354.83567167755564,-1.3115808825424067,-22.06553578429358
2009,def_mm_mean,2235.80457125593,1926.2508544921875,38281,3772,1506.6567194929214,491.0645771920127,729.1478517630087,1.484830887074761,48.39508843184994
2009,aet_mm_mean,999.7186490005287,997.5232543945312,38281,3772,1000.1715882565758,40.99798900072724,-0.4529392560471024,-0.011047840810900943,-0.045286155032321224
2009,pet_mm_mean,3489.0679730739084,3242.65185546875,38281,3772,3077.808769367371,294.51758698006523,411.2592037065374,1.3963824976413852,13.362077845761345
2009,tmean_c_mean,19.081670461850443,19.1448917388916,38281,3772,18.81482786940324,0.42205940044478096,0.26684259244720465,0.6322394245122762,
2010,prcp_mm_mean,1900.044842516626,1876.5677490234373,38281,3772,1608.0990515994197,270.5404419967847,291.9457909172063,1.0791206991547533,18.154714451627605
2010,def_mm_mean,1151.101952784379,873.8292236328125,38281,3430,1506.6567194929214,491.0645771920127,-355.5547667085425,-0.7240488995188018,-23.598923504499925
2010,aet_mm_mean,982.7986665718486,980.7981567382812,38281,3772,1000.1715882565758,40.99798900072724,-17.372921684727203,-0.42375058163021206,-1.7369941206798705
2010,pet_mm_mean,2986.656786710593,2830.2275390625,38281,3772,3077.808769367371,294.51758698006523,-91.15198265677782,-0.309495889842896,-2.9615869434121365
2010,tmean_c_mean,18.52544763727862,18.57729148864746,38281,3772,18.81482786940324,0.42205940044478096,-0.2893802321246177,-0.6856386371673245,
2011,prcp_mm_mean,1352.3488326983695,1357.0836181640625,38281,3772,1608.0990515994197,270.5404419967847,-255.75021890105018,-0.9453308237889613,-15.903884692095323
2011,def_mm_mean,1949.0821844841887,1789.4290771484375,38281,3772,1506.6567194929214,491.0645771920127,442.4254649912673,0.900951698697406,29.364715881675387
2011,aet_mm_mean,1066.4572727489708,1070.014892578125,38281,3772,1000.1715882565758,40.99798900072724,66.28568449239503,1.6168033142118077,6.627431259864047
2011,pet_mm_mean,3301.431012271863,3120.41259765625,38281,3772,3077.808769367371,294.51758698006523,223.62224290449194,0.7592831558803586,7.265631482051318
2011,tmean_c_mean,18.057055835092516,18.0570011138916,38281,3772,18.81482786940324,0.42205940044478096,-0.7577720343107224,-1.7954156062207256,
2012,prcp_mm_mean,1882.9769922804014,1832.011474609375,38281,3772,1608.0990515994197,270.5404419967847,274.87794068098174,1.0160327182589899,17.093346358707656
2012,def_mm_mean,1010.3565151239836,721.9925537109375,38281,3261,1506.6567194929214,491.0645771920127,-496.3002043689378,-1.010661789548868,-32.94049652770088
2012,aet_mm_mean,1001.402355929962,1008.6073608398438,38281,3772,1000.1715882565758,40.99798900072724,1.2307676733862536,0.030020196194609005,0.12305565243376246
2012,pet_mm_mean,2808.798380673026,2614.189697265625,38281,3772,3077.808769367371,294.51758698006523,-269.01038869434524,-0.9133932932587605,-8.740321730568045
2012,tmean_c_mean,18.182566376411685,18.27820587158203,38281,3772,18.81482786940324,0.42205940044478096,-0.6322614929915531,-1.4980391203827088,
2013,prcp_mm_mean,1444.967747120642,1418.9482421875,38281,3772,1608.0990515994197,270.5404419967847,-163.1313044787778,-0.6029830633629133,-10.144356737013615
2013,def_mm_mean,1684.523500010186,1479.202152429006,38281,3736,1506.6567194929214,491.0645771920127,177.8667805172645,0.3622064974312253,11.805395231445099
2013,aet_mm_mean,1032.5732004930708,1038.2154541015625,38281,3772,1000.1715882565758,40.99798900072724,32.401612236495,0.7903219895961299,3.2396053454162863
2013,pet_mm_mean,3126.7826455013324,2958.154541015625,38281,3772,3077.808769367371,294.51758698006523,48.97387613396131,0.1662850651335676,1.591192949392618
2013,tmean_c_mean,18.709101372272464,18.68770980834961,38281,3772,18.81482786940324,0.42205940044478096,-0.10572649713077453,-0.25050146263619827,
2014,prcp_mm_mean,1422.1527331499829,1406.4814453125,38281,3772,1608.0990515994197,270.5404419967847,-185.94631844943683,-0.6873143145513407,-11.563113495060776
2014,def_mm_mean,1728.4737000480234,1518.5908203125,38281,3677,1506.6567194929214,491.0645771920127,221.81698055510196,0.4517063352919643,14.722463165315881
2014,aet_mm_mean,1016.7944857706375,1025.4886474609375,38281,3772,1000.1715882565758,40.99798900072724,16.62289751406172,0.405456411868564,1.6620045709394236
2014,pet_mm_mean,3134.193086053829,2940.951171875,38281,3772,3077.808769367371,294.51758698006523,56.38431668645808,0.19144634880590175,1.831962961690034
