year,variable,regional_mean,spatial_median,n_cells,n_unique_cell_values,period_mean,annual_sd,anomaly,anomaly_z,anomaly_percent_of_mean
2003,prcp_mm_mean,1217.0440977760168,1208.5340576171875,38281,3772,1608.0990515994197,270.5404419967847,-391.0549538234029,-1.4454583977801385,-24.317839963555638
2003,def_mm_mean,2248.4801453142563,2108.310791015625,38281,3772,1506.6567194929214,491.0645771920127,741.8234258213349,1.5106433252897251,49.23639314939651
2003,aet_mm_mean,977.3915645954237,976.9276733398438,38281,3772,1000.1715882565758,40.99798900072724,-22.780023661152086,-0.5556375865349885,-2.2776115547193774
2003,pet_mm_mean,3465.524240470088,3355.7745554946628,38281,3772,3077.808769367371,294.51758698006523,387.71547110271695,1.3164425088439962,12.597126727350577
2003,tmean_c_mean,18.931878590982667,18.97227668762207,38281,3772,18.81482786940324,0.42205940044478096,0.11705072157942809,0.27733234103085,
2004,prcp_mm_mean,1349.2937594747345,1344.9310302734375,38281,3772,1608.0990515994197,270.5404419967847,-258.80529212468514,-0.9566233063512218,-16.093865105341408
2004,def_mm_mean,2206.9934151429893,2033.9517822265625,38281,3772,1506.6567194929214,491.0645771920127,700.3366956500679,1.4261600778755155,46.48283093216963
2004,aet_mm_mean,1023.9873471457348,1027.5111083984375,38281,3772,1000.1715882565758,40.99798900072724,23.815758889159042,0.580900660486947,2.381167308568812
2004,pet_mm_mean,3556.204158550478,3362.6982421875,38281,3772,3077.808769367371,294.51758698006523,478.395389183107,1.6243355586621988,15.543375986983069
2004,tmean_c_mean,18.753149042465555,18.79336738586425,38281,3772,18.81482786940324,0.42205940044478096,-0.06167882693768334,-0.14613778741258704,
2011,prcp_mm_mean,1352.3488326983695,1357.0836181640625,38281,3772,1608.0990515994197,270.5404419967847,-255.75021890105018,-0.9453308237889613,-15.903884692095323
2011,def_mm_mean,1949.0821844841887,1789.4290771484375,38281,3772,1506.6567194929214,491.0645771920127,442.4254649912673,0.900951698697406,29.364715881675387
2011,aet_mm_mean,1066.4572727489708,1070.014892578125,38281,3772,1000.1715882565758,40.99798900072724,66.28568449239503,1.6168033142118077,6.627431259864047
2011,pet_mm_mean,3301.431012271863,3120.41259765625,38281,3772,3077.808769367371,294.51758698006523,223.62224290449194,0.7592831558803586,7.265631482051318
2011,tmean_c_mean,18.057055835092516,18.0570011138916,38281,3772,18.81482786940324,0.42205940044478096,-0.7577720343107224,-1.7954156062207256,
2012,prcp_mm_mean,1882.9769922804014,1832.011474609375,38281,3772,1608.0990515994197,270.5404419967847,274.87794068098174,1.0160327182589899,17.093346358707656
2012,def_mm_mean,1010.3565151239836,721.9925537109375,38281,3261,1506.6567194929214,491.0645771920127,-496.3002043689378,-1.010661789548868,-32.94049652770088
2012,aet_mm_mean,1001.402355929962,1008.6073608398438,38281,3772,1000.1715882565758,40.99798900072724,1.2307676733862536,0.030020196194609005,0.12305565243376246
2012,pet_mm_mean,2808.798380673026,2614.189697265625,38281,3772,3077.808769367371,294.51758698006523,-269.01038869434524,-0.9133932932587605,-8.740321730568045
2012,tmean_c_mean,18.182566376411685,18.27820587158203,38281,3772,18.81482786940324,0.42205940044478096,-0.6322614929915531,-1.4980391203827088,
2024,prcp_mm_mean,1922.577733231658,1916.142822265625,38281,3772,1608.0990515994197,270.5404419967847,314.47868163223825,1.1624091367307507,19.555927311782003
2024,def_mm_mean,1131.984290033159,864.0208129882812,38281,3494,1506.6567194929214,491.0645771920127,-374.6724294597625,-0.7629799559198518,-24.8678033033206
2024,aet_mm_mean,993.0822202328577,1000.5679321289062,38281,3772,1000.1715882565758,40.99798900072724,-7.089368023718066,-0.17291989671962477,-0.7088151780111772
2024,pet_mm_mean,2996.8392754795277,2845.167236328125,38281,3772,3077.808769367371,294.51758698006523,-80.96949388784333,-0.2749224408568981,-2.630751289479438
2024,tmean_c_mean,19.255472990788125,19.281707763671875,38281,3772,18.81482786940324,0.42205940044478096,0.4406451213848861,1.0440357942993779,
2025,prcp_mm_mean,1491.288850075819,1486.8349609375,38281,3772,1608.0990515994197,270.5404419967847,-116.81020152360065,-0.431766136927465,-7.263868566269032
2025,def_mm_mean,1794.0156319851144,1637.94921875,38281,3769,1506.6567194929214,491.0645771920127,287.358912492193,0.5851754042927676,19.07262011142831
2025,aet_mm_mean,1020.8743264040262,1021.5663452148438,38281,3772,1000.1715882565758,40.99798900072724,20.702738147450418,0.5049696009987998,2.0699186410141763
2025,pet_mm_mean,3284.061774617763,3175.8332063544008,38281,3772,3077.808769367371,294.51758698006523,206.2530052503921,0.700307942100424,6.701293702947842
2025,tmean_c_mean,19.398245855639704,19.36264991760254,38281,3772,18.81482786940324,0.42205940044478096,0.5834179862364657,1.3823125029833228,
