stage,year,component,n,mean,median,q25,q75
raw,2000,kndvi_mean,38281,0.39572203820784246,0.4073681518414219,0.3155880333062371,0.4864962929777825
raw,2000,nbr_mean,38281,0.5256877631073323,0.5417216929950112,0.4554087925123242,0.6078354241479904
raw,2000,ndmi_mean,38281,0.22252408875253257,0.2304043338705276,0.1702710464185077,0.2807302192956968
raw,2000,bsi_mean,38281,-0.15503438343312348,-0.1628343536037854,-0.2219332326369139,-0.0934532065868663
raw,2001,kndvi_mean,38281,0.3928332759848296,0.4077928911342296,0.3155850927486075,0.4806430230426551
raw,2001,nbr_mean,38281,0.5285557224539935,0.5484254545131807,0.4581603750327228,0.6108553465721152
raw,2001,ndmi_mean,38281,0.2253735703939166,0.2359151871919486,0.170880656473616,0.2857236744429601
raw,2001,bsi_mean,38281,-0.15903496000044035,-0.1700976391936256,-0.22707745968157,-0.0957550126694027
raw,2002,kndvi_mean,38281,0.3648379350927836,0.3661540977688672,0.2771734027363359,0.4584066904970437
raw,2002,nbr_mean,38281,0.5149255936910572,0.5318024757013329,0.4366250130715479,0.6036810668149352
raw,2002,ndmi_mean,38281,0.21617094931115186,0.2242638496917454,0.1530147239095516,0.2838766815085797
raw,2002,bsi_mean,38281,-0.1492417676933692,-0.1561159460316601,-0.2224456402721019,-0.07935807984431
raw,2003,kndvi_mean,38281,0.3418801602528559,0.3520127432301663,0.2494743143598696,0.4405503493513192
raw,2003,nbr_mean,38281,0.49892436339920737,0.5279929382618702,0.4044047767153035,0.6062755785459428
raw,2003,ndmi_mean,38281,0.20064034198534592,0.2180824062899729,0.1243544978757689,0.2818173978925672
raw,2003,bsi_mean,38281,-0.1353200084237987,-0.1507280477297407,-0.2198036056372645,-0.054718767762816
raw,2004,kndvi_mean,38281,0.33267171087516134,0.3367155219838064,0.2378177022494532,0.4316262711985761
raw,2004,nbr_mean,38281,0.48587312868229887,0.5070297865371681,0.3818248993421846,0.5992992780101833
raw,2004,ndmi_mean,38281,0.1964038340656734,0.2066080044918935,0.1152570412856718,0.2804449106247708
raw,2004,bsi_mean,38281,-0.12841263516258855,-0.1366986145229436,-0.2154985717734606,-0.0433371603090953
raw,2005,kndvi_mean,38281,0.37479683772725725,0.3817667925344572,0.2902948024389672,0.4653125446312101
raw,2005,nbr_mean,38281,0.5258457699964328,0.5397315024234194,0.4521254444206368,0.6095193480097395
raw,2005,ndmi_mean,38281,0.2272805052302126,0.2337986278396444,0.1718253598132172,0.2875578799761261
raw,2005,bsi_mean,38281,-0.15920927931398482,-0.1654744013619736,-0.2277092926915299,-0.0949581612848027
raw,2006,kndvi_mean,38281,0.39137721288563476,0.4044927061183362,0.3027778832132025,0.4843788208937174
raw,2006,nbr_mean,38281,0.535753634910815,0.5593166250281589,0.4522457399555157,0.6280255632906973
raw,2006,ndmi_mean,38281,0.2360572539368927,0.2495250986267208,0.1701388453968314,0.305646295796058
raw,2006,bsi_mean,38281,-0.17201098317290422,-0.185610258390424,-0.2485705031331929,-0.0979258346369424
raw,2007,kndvi_mean,38281,0.3727342980152139,0.3851036900555908,0.2885797616578773,0.4628513516956793
raw,2007,nbr_mean,38281,0.5240844309883451,0.5471097515150619,0.4411287841731212,0.6164406391196224
raw,2007,ndmi_mean,38281,0.2241527096794335,0.2375870501662483,0.1580810378001856,0.2931336831894276
raw,2007,bsi_mean,38281,-0.15937983402528544,-0.1719210281416204,-0.2336925215289207,-0.0876133424220074
raw,2008,kndvi_mean,38281,0.38573059617126787,0.3971769860778259,0.3133044436025323,0.4687281632540078
raw,2008,nbr_mean,38281,0.5134183616966255,0.5297527111952287,0.4413952336043016,0.595832496911865
raw,2008,ndmi_mean,38281,0.21697237833798594,0.2227271051901361,0.1595186010569923,0.2780133638699152
raw,2008,bsi_mean,38281,-0.15269943912562847,-0.1599878619587866,-0.2178315186363962,-0.0900041345015034
raw,2009,kndvi_mean,38281,0.35445404560262733,0.3621604752715222,0.2741735294870336,0.4443889003001283
raw,2009,nbr_mean,38281,0.49464673220618766,0.5164751714930074,0.4035719922529848,0.5970096762186209
raw,2009,ndmi_mean,38281,0.19911096467712583,0.2095758118024225,0.1252109724682142,0.2758673364789485
raw,2009,bsi_mean,38281,-0.13479687817992742,-0.1445232259583971,-0.2127830230010628,-0.0590430728161755
raw,2010,kndvi_mean,38281,0.38365820982823967,0.3940528585495522,0.3097532565156936,0.4685455347454942
raw,2010,nbr_mean,38281,0.5184523222479114,0.5368991889455489,0.4483218080174738,0.6025307985477265
raw,2010,ndmi_mean,38281,0.2167637056734074,0.2257360384743778,0.159392691276014,0.2789649696944074
raw,2010,bsi_mean,38281,-0.15313169931379975,-0.1620115152825239,-0.2196836140474505,-0.0913335082528666
raw,2011,kndvi_mean,38281,0.37813392884892066,0.3809915374449589,0.3032140313627603,0.4640638238553278
raw,2011,nbr_mean,38281,0.5245977512960099,0.5359786608158617,0.4498444078248341,0.6103226660765338
raw,2011,ndmi_mean,38281,0.22432575519489728,0.2276486780200276,0.1632468174219557,0.288640485114014
raw,2011,bsi_mean,38281,-0.16176986675488103,-0.1642765599732969,-0.2302497083792082,-0.0967566605576096
raw,2012,kndvi_mean,38281,0.44714470323312033,0.4647154062487059,0.3755597646595733,0.5332124898083971
raw,2012,nbr_mean,38281,0.557671259829224,0.5779103166637202,0.4925909909547009,0.6384371855552331
raw,2012,ndmi_mean,38281,0.255693549771249,0.2665573918569472,0.2018669937754375,0.3173616502795864
raw,2012,bsi_mean,38281,-0.1984806795543977,-0.209862058817823,-0.2670225855163319,-0.1367878126258585
raw,2013,kndvi_mean,38281,0.45661365957993394,0.4761423531639879,0.3882624329703175,0.5420870467955172
raw,2013,nbr_mean,38281,0.5587656370647184,0.5798100273937192,0.491034186568107,0.6432175491904444
raw,2013,ndmi_mean,38281,0.26502922386080585,0.2766479102625868,0.2079314035775575,0.3301770875524004
raw,2013,bsi_mean,38281,-0.20230688638369265,-0.2142303105706352,-0.27463846677038,-0.1370446732043865
raw,2014,kndvi_mean,38281,0.4381848800836689,0.4546762804496078,0.3675337512253515,0.5250778739120056
raw,2014,nbr_mean,38281,0.5554543164755202,0.5771285694247262,0.4822530410622058,0.6449019630831869
raw,2014,ndmi_mean,38281,0.26581509280992205,0.2773985603629039,0.2019383220320024,0.3367236812578788
raw,2014,bsi_mean,38281,-0.20044564004898557,-0.2114871805106126,-0.276552333680354,-0.1300798276028836
raw,2015,kndvi_mean,38281,0.4610446262092123,0.4777876168789153,0.3970663205895803,0.5423506680826815
raw,2015,nbr_mean,38281,0.5567909098383454,0.5745927033603718,0.4912681553810853,0.6372298388608499
raw,2015,ndmi_mean,38281,0.26159157142309214,0.2712338275546319,0.206000210664769,0.3247702699167902
raw,2015,bsi_mean,38281,-0.20099417459893884,-0.2108634552322969,-0.2700849201348888,-0.1386043962700841
raw,2016,kndvi_mean,38281,0.4521642285362997,0.4736059261697075,0.3855381789935146,0.538460616495506
raw,2016,nbr_mean,38281,0.5378083307742273,0.5568604257698818,0.4699966829824114,0.6222936265081306
raw,2016,ndmi_mean,38281,0.24451269349277283,0.2539822057365506,0.1863270233778824,0.3103619807909634
raw,2016,bsi_mean,38281,-0.18560884928261526,-0.1963118607856685,-0.2571879306063178,-0.1214840353837794
