year,n_roi5,eci_median,median_paired_eci_change,difference_of_endpoint_medians,fraction_eci_decreased,fraction_eci_increased
2003,38281,0.506342587224281,-0.030803709565992987,-0.01829951653284634,0.6713513231106816,0.32274496486507664
2004,38281,0.46905306991611867,-0.009927232726079094,-0.03728951730816238,0.5784592878973903,0.40184425694208614
2011,38281,0.5419829898900819,0.01918353094978048,-0.006033737899051594,0.4014524176484418,0.5941851048823176
2012,38281,0.6696779411691028,0.10191517906676709,0.12769495127902097,0.16203860923173377,0.8345393276037721
2013,38281,0.6859760370093492,0.014040022027781873,0.01629809584024633,0.42336929547295005,0.5716151615684021
2024,38281,0.7636665443757433,0.07067433947191515,0.07391609337309113,0.11995506909432878,0.8708236461952404
2025,38281,0.7155577937399502,-0.04659044841526461,-0.04810875063579312,0.7879888195188214,0.19414330869099553
