quantile,within_cell_ECI_range
0.0,0.0010082127456473
0.01,0.1765333919588531
0.05,0.23687906166552988
0.25,0.33508969105912
0.5,0.4157293992295887
0.75,0.5092104474990462
0.95,0.6843975669751133
0.99,0.8368255880167076
1.0,0.9950482153720044
