stratification_cover_year,outcome,ROI5_standardized_mean,BG15_standardized_mean,ROI5_minus_BG15,ROI5_common_support_fraction,n_common_strata,n_ROI5_common,n_BG15_common
2025,eci_2000,0.5352550918481638,0.5395371954632483,-0.00428210361508452,0.9973616154227946,18,38180,77051
2025,eci_2025,0.6631709551217286,0.6563651872831118,0.006805767838616861,0.9973616154227946,18,38180,77051
2025,eci_change,0.12791586327356488,0.11682799181986347,0.011087871453701409,0.9973616154227946,18,38180,77051
2000,eci_2000,0.5361820384976554,0.5383891003935494,-0.0022070618958939248,0.9956636451503357,14,38115,76789
2000,eci_2025,0.6641861388877437,0.6538452166981464,0.010340922189597257,0.9956636451503357,14,38115,76789
2000,eci_change,0.1280041003900882,0.11545611630459701,0.012547984085491182,0.9956636451503357,14,38115,76789
