elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",built,169,677,True,0.24035123845600825,0.029105532598123922,-0.21124570585788435,0.19222590489112562,0.03493066134004763,-0.15729524355107796
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",cropland,650,3980,True,0.27811470854214104,0.20238071721373996,-0.07573399132840113,0.3068407706724094,0.1760866924948473,-0.13075407817756213
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",forest,8,46,False,0.21025915829859318,0.40492675775181164,0.19466759945321835,0.23486852412595952,0.41006497298177963,0.17519644885581998
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",water,40,282,True,0.4204063572114535,0.37710231276990924,-0.04330404444154412,0.44304685966326196,0.3824640971956318,-0.06058276246763021
"[-1000000000.0, 200.0)","[15.0, 25.0)",cropland,2,0,False,0.32584181734823503,0.13620463214851974,-0.18963718519971529,,,
"[-1000000000.0, 200.0)","[15.0, 25.0)",forest,307,723,True,0.45828301421722967,0.5994542997316978,0.14117128551446814,0.46835298497290545,0.6122153025524644,0.1438623175795588
"[-1000000000.0, 200.0)","[25.0, 1000000000.0)",forest,0,1,False,,,,0.4240706615871132,0.5711698531131972,0.147099191526084
"[-1000000000.0, 200.0)","[5.0, 15.0)",built,209,714,True,0.1725454172879291,0.11065811121095101,-0.06188730607697809,0.16593112029821624,0.1014672368237462,-0.06446388347447005
"[-1000000000.0, 200.0)","[5.0, 15.0)",cropland,1077,3095,True,0.23747438028656273,0.27120859688740057,0.03373421660083787,0.25146067555844503,0.22649577867950912,-0.024964896878935904
"[-1000000000.0, 200.0)","[5.0, 15.0)",forest,1654,4317,True,0.3292688884108118,0.5008059412217059,0.17153705281089396,0.345380222874251,0.4828217670581778,0.13744154418392673
"[-1000000000.0, 200.0)","[5.0, 15.0)",water,37,114,True,0.3334874941140083,0.42536205294387247,0.09187455882986419,0.3653220598545979,0.3946537870823835,0.029331727227785615
"[1000.0, 1000000000.0)","[15.0, 25.0)",cropland,0,1,False,,,,0.0793821126952667,0.0457022788543251,-0.0336798338409415
"[1000.0, 1000000000.0)","[15.0, 25.0)",forest,19,235,False,0.5261426431621737,0.5683375223356101,0.04219487917343639,0.4444078808349078,0.6624279089456715,0.21802002811076363
"[1000.0, 1000000000.0)","[15.0, 25.0)",other_cover_combined,0,1,False,,,,0.030967440573436,0.2004961193243157,0.1695286787508797
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",forest,6,220,False,0.34778960431472944,0.4875151242632061,0.1397255199484765,0.4487494597150334,0.5640155993053,0.11526613959026666
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",other_cover_combined,0,7,False,,,,0.23731539942030108,0.12784729971349157,-0.10946809970680953
"[1000.0, 1000000000.0)","[5.0, 15.0)",forest,2,0,False,0.279168221105612,0.8180305365679943,0.5388623154623822,,,
"[200.0, 500.0)","[-1000000000.0, 5.0)",built,90,104,True,0.19566997745686174,0.024764910099493328,-0.1709050673573684,0.21111028382720348,0.02755901573564056,-0.18355126809156289
"[200.0, 500.0)","[-1000000000.0, 5.0)",cropland,600,868,True,0.2719270790699021,0.17376178301307707,-0.098165296056825,0.26685645290201854,0.17740858787544717,-0.08944786502657136
"[200.0, 500.0)","[-1000000000.0, 5.0)",forest,10,15,False,0.24359259783909276,0.5079219404129456,0.2643293425738529,0.2624928736136755,0.4229880165465584,0.1604951429328829
"[200.0, 500.0)","[-1000000000.0, 5.0)",water,13,4,False,0.5483239813017842,0.4972294511660849,-0.05109453013569921,0.5440272990032878,0.4996801105725562,-0.04434718843073165
"[200.0, 500.0)","[15.0, 25.0)",built,2,3,False,0.6340428306882679,0.0105573612065503,-0.6234854694817176,0.630955067545362,0.056117875449012,-0.5748371920963499
"[200.0, 500.0)","[15.0, 25.0)",cropland,8,14,False,0.45744218270111203,0.2249418240952901,-0.2325003586058219,0.40412354334221856,0.2310186181548634,-0.17310492518735512
"[200.0, 500.0)","[15.0, 25.0)",forest,13269,26178,True,0.6500261194810947,0.7942176494200414,0.1441915299389467,0.6577548189356638,0.7944226145553721,0.13666779561970838
