elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change
"[200.0, 500.0)","[25.0, 1000000000.0)",forest,315,753,True,0.7217910316120374,0.8336418068528001,0.11185077524076284,0.7212734032694431,0.8131102178138747,0.09183681454443149
"[200.0, 500.0)","[5.0, 15.0)",built,93,83,True,0.2398950970011719,0.05568097660848044,-0.18421412039269136,0.19493828043891503,0.08789665075802951,-0.1070416296808855
"[200.0, 500.0)","[5.0, 15.0)",cropland,2119,3211,True,0.2788952522979786,0.2766186991455027,-0.0022765531524758546,0.2760634576737866,0.2800298047830022,0.003966347109215642
"[200.0, 500.0)","[5.0, 15.0)",forest,11875,16370,True,0.4630785668805942,0.6383796125268016,0.17530104564620735,0.47093270291309197,0.6254799875420253,0.15454728462893325
"[200.0, 500.0)","[5.0, 15.0)",other_cover_combined,3,0,False,0.0,0.0,0.0,,,
"[200.0, 500.0)","[5.0, 15.0)",water,11,47,False,0.5577781745294805,0.5628161994186536,0.005038024889173051,0.562058315505606,0.5456044991885882,-0.016453816317017728
"[500.0, 1000.0)","[15.0, 25.0)",cropland,3,2,False,0.2940711742703287,0.2545168519993269,-0.03955432227100183,0.33490544332792954,0.16905299744747404,-0.16585244588045545
"[500.0, 1000.0)","[15.0, 25.0)",forest,4271,11812,True,0.7268584410515204,0.8465255768042634,0.11966713575274304,0.7149115098723666,0.8443555395953448,0.1294440297229782
"[500.0, 1000.0)","[15.0, 25.0)",other_cover_combined,0,1,False,,,,0.0,0.0301380936196019,0.0301380936196019
"[500.0, 1000.0)","[25.0, 1000000000.0)",forest,682,2279,True,0.7413624971834843,0.8279042717031766,0.08654177451969217,0.7263044334218003,0.8059656271429656,0.07966119372116523
"[500.0, 1000.0)","[25.0, 1000000000.0)",other_cover_combined,0,1,False,,,,0.0002927996730496,0.0189565377211666,0.0186637380481169
"[500.0, 1000.0)","[5.0, 15.0)",cropland,13,36,False,0.2818329078235798,0.288262647718081,0.006429739894501189,0.2839401320365803,0.2818335008497627,-0.0021066311868175244
"[500.0, 1000.0)","[5.0, 15.0)",forest,723,1491,True,0.6260974811058422,0.7817479945484088,0.15565051344256667,0.6052403576301466,0.7839422383276106,0.17870188069746398
"[500.0, 1000.0)","[5.0, 15.0)",water,1,0,False,0.3607461514187215,0.358771559376008,-0.0019745920427134,,,
