land_cover_class,slope_on_forest_cover_trend,correlation_with_forest_cover_trend
cropland,-0.8450692849525824,-0.7769769582616575
shrub,-0.0013498615422594471,-0.04112270219746188
grass,-0.07006903553697573,-0.2885449460288402
water,0.0008493311766144912,0.007084280709710122
barren,-0.0008453799544881041,-0.02740770268358312
built,-0.08351576913630603,-0.12775824976203928
