replicate,n,path_max_error,weight_max_error
0,37344,4.0256686872908176e-13,2.0479173912235638e-12
1,37599,2.760014439218139e-13,1.7525425555220409e-12
2,38649,3.992361996552063e-13,1.061872811902731e-12
