"","elevation_mean","slope_mean","terrain_northness_mean","terrain_tpi_5km","prcp_mm_mean_2000_2025","prcp_mm_slope_2000_2025","tmean_c_mean_2000_2025","vpd_kpa_slope_2000_2025","ssrd_wm2_slope_2000_2025","pop_log_density_2000","pop_log_change_2000_2020_per_year","ntl_viirs_slope_2014_2025","road_dist_km","mkde3k","mining_disturbance_intensity_2000_2025","mndwi_mean_2000_2025","mndwi_slope_2000_2025","pdsi_slope_2000_2025","soil_water_rootzone_mean_2000_2025","soil_water_rootzone_slope_2000_2025","hydro_hand_m","forest_frac_slope_2000_2025","cropland_frac_mean_2000_2025","built_frac_slope_2000_2025","barren_frac_slope_2000_2025","regain_sen_slope_2000_2025"
"Terrain",0.827774730205461,0.933933066232947,0.00960312343541983,0.707133056736569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Climate",0,0,0,0,0.31758296850033,0.0644825342601772,-0.861859107378116,-0.506194441429148,-0.231101200264808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Human",0,0,0,0,0,0,0,0,0,0.844016884359765,0.370368033827781,0.645790644393271,-0.278500410789526,0.0156708664469743,0.251050138764757,0,0,0,0,0,0,0,0,0,0,0
"Hydrology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613578886522746,0.181929835453646,0.129405001094541,-0.134953620908753,-0.0741205805279834,-0.935667007341571,0,0,0,0,0
"LandCover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331263831178103,-0.832608471293525,-0.657538564324096,-0.0738970559257455,0
"REGAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
