construct,R2,expected,difference
Hydrology,0.708403555424496,0.7084035793160822,-2.3891586264923603e-08
LandCover,0.676472579373998,0.6764724111845368,1.6818946113605904e-07
REGAIN,0.28870807840326,0.2887082222397968,-1.4383653679228559e-07
