"","elevation_mean","slope_mean","terrain_northness_mean","terrain_tpi_5km","prcp_mm_mean_2000_2025","prcp_mm_slope_2000_2025","tmean_c_mean_2000_2025","vpd_kpa_slope_2000_2025","ssrd_wm2_slope_2000_2025","pop_log_density_2000","pop_log_change_2000_2020_per_year","ntl_viirs_slope_2014_2025","road_dist_km","mkde3k","mining_disturbance_intensity_2000_2025","mndwi_mean_2000_2025","mndwi_slope_2000_2025","pdsi_slope_2000_2025","soil_water_rootzone_mean_2000_2025","soil_water_rootzone_slope_2000_2025","hydro_hand_m","forest_frac_slope_2000_2025","cropland_frac_mean_2000_2025","built_frac_slope_2000_2025","barren_frac_slope_2000_2025","regain_sen_slope_2000_2025"
"Terrain",0.827653325820395,0.933977179735067,0.00963569249144976,0.707161489129741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Climate",0,0,0,0,0.317085109921773,0.0645865270618701,-0.861806242128972,-0.505859174399073,-0.230787487104544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Human",0,0,0,0,0,0,0,0,0,0.844096685415262,0.370362115257094,0.645661970316335,-0.278509034691552,0.0157309738297079,0.25104535326234,0,0,0,0,0,0,0,0,0,0,0
"Hydrology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613461141323635,0.181970610469643,0.129203407273852,-0.134922611593068,-0.0741124732067558,-0.935709145107293,0,0,0,0,0
"LandCover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331190628213564,-0.832720482474678,-0.657403121859948,-0.0738866144032623,0
"REGAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
