response,n,Spearman,direction_agreement,n_direction_changed,baseline_positive_fraction,alternative_positive_fraction
REGAIN_slope,38273,0.9973072403708391,0.9967339900190735,125,0.9326679382332193,0.9335040367883364
ECI_slope,38273,0.9968526721207166,0.9967339900190735,125,0.9326679382332193,0.9335040367883364
