source,score,direction,q_low,q_high
kndvi_mean,eci_kndvi,1,0.10955657679573352,0.6105456720906246
nbr_mean,eci_nbr,1,0.21047685122091012,0.7189162469907704
ndmi_mean,eci_ndmi,1,0.017003493867140534,0.4126869140762613
bsi_mean,eci_bsi_inverse,-1,-0.35882749689080573,0.05046939734843889
