method,n_cell_years,PC1_variance_fraction,ECI_PC1_Pearson,ECI_PC1_Spearman
covariance_primary,995306,0.9659773272005274,0.9999998386906755,0.9999998935955922
correlation_secondary,995306,0.9663600298263252,0.9999922254743928,0.9999912969764682
