contract,year,component,lower_fraction,upper_fraction
q02_q98,2000,kndvi_mean,0.011964159765941328,0.0008620464460176066
q02_q98,2000,nbr_mean,0.011102113319923721,0.0013322535983908467
q02_q98,2000,ndmi_mean,0.013949478853739454,0.0008881690655938978
q02_q98,2000,bsi_mean,5.2245239152582224e-05,0.01768501345314908
q02_q98,2001,kndvi_mean,0.011598443091873254,5.2245239152582224e-05
q02_q98,2001,nbr_mean,0.011964159765941328,0.001201640500509391
q02_q98,2001,ndmi_mean,0.015386222930435465,0.0013061309788145556
q02_q98,2001,bsi_mean,7.836785872887333e-05,0.016770721767978895
q02_q98,2002,kndvi_mean,0.02191687782450824,0.0006530654894072778
q02_q98,2002,nbr_mean,0.014419686006112693,0.0005746976306784045
q02_q98,2002,ndmi_mean,0.019461351584336876,0.001149395261356809
q02_q98,2002,bsi_mean,0.00010449047830516445,0.021472793291711294
q02_q98,2003,kndvi_mean,0.059376714296909695,0.0
q02_q98,2003,nbr_mean,0.051357070086988324,0.0009926595438990622
q02_q98,2003,ndmi_mean,0.07567722891251534,0.0011755178809331
q02_q98,2003,bsi_mean,0.00013061309788145556,0.07212455265013976
q02_q98,2004,kndvi_mean,0.06300775841801416,0.0
q02_q98,2004,nbr_mean,0.05462239753402471,0.0008359238264413156
q02_q98,2004,ndmi_mean,0.0702437240406468,0.0009142916851701888
q02_q98,2004,bsi_mean,2.6122619576291112e-05,0.07045270499725713
q02_q98,2005,kndvi_mean,0.018416446801285232,7.836785872887333e-05
q02_q98,2005,nbr_mean,0.009299652569159635,0.0027167524359342755
q02_q98,2005,ndmi_mean,0.010213944254329824,0.0018285833703403777
q02_q98,2005,bsi_mean,0.0006530654894072778,0.013009064548992973
q02_q98,2006,kndvi_mean,0.018834408714505892,0.0070269846660223085
q02_q98,2006,nbr_mean,0.012042527624670202,0.006060447741699538
q02_q98,2006,ndmi_mean,0.01363600741882396,0.003082469110002351
q02_q98,2006,bsi_mean,0.0016718476528826312,0.0152817324521303
q02_q98,2007,kndvi_mean,0.022543820694339228,5.2245239152582224e-05
q02_q98,2007,nbr_mean,0.01598704318069016,0.0024294036205950733
q02_q98,2007,ndmi_mean,0.018207465844674905,0.0013322535983908467
q02_q98,2007,bsi_mean,0.0002612261957629111,0.018155220605522323
q02_q98,2008,kndvi_mean,0.018390324181708943,0.0013322535983908467
q02_q98,2008,nbr_mean,0.018965021812387347,0.004284109610511742
q02_q98,2008,ndmi_mean,0.018912776573234764,0.002533894098900238
q02_q98,2008,bsi_mean,0.001436744076696011,0.01927849324730284
q02_q98,2009,kndvi_mean,0.0340900185470599,0.0
q02_q98,2009,nbr_mean,0.044382330660118596,0.0032392048274600977
q02_q98,2009,ndmi_mean,0.05658159400224654,0.001854705989916669
q02_q98,2009,bsi_mean,0.00039183929364436664,0.04892766646639325
q02_q98,2010,kndvi_mean,0.020636869465269977,0.00033959405449178443
q02_q98,2010,nbr_mean,0.017554400355267626,0.0024555262401713645
q02_q98,2010,ndmi_mean,0.021028708758914345,0.0013844988375434288
q02_q98,2010,bsi_mean,0.0005224523915258223,0.01948747420391317
q02_q98,2011,kndvi_mean,0.017920117029335703,0.00033959405449178443
q02_q98,2011,nbr_mean,0.015098874115096262,0.00658290013322536
q02_q98,2011,ndmi_mean,0.014289072908231237,0.0030041012512734776
q02_q98,2011,bsi_mean,0.00094041430474648,0.013740497897129124
q02_q98,2012,kndvi_mean,0.01178130142890729,0.04453906637757634
q02_q98,2012,nbr_mean,0.011729056189754708,0.019174002768997674
q02_q98,2012,ndmi_mean,0.009090671612549306,0.00752331443797184
q02_q98,2012,bsi_mean,0.013531516940518795,0.009717614482380293
q02_q98,2013,kndvi_mean,0.011938037146365037,0.04720357357435804
q02_q98,2013,nbr_mean,0.013270290744755884,0.027402627935529375
q02_q98,2013,ndmi_mean,0.009195162090854471,0.016849089626707767
q02_q98,2013,bsi_mean,0.023223008803322797,0.010240066873906115
q02_q98,2014,kndvi_mean,0.014184582429926073,0.01859930513831927
q02_q98,2014,nbr_mean,0.014315195527807528,0.03328021734019487
q02_q98,2014,ndmi_mean,0.009221284710430763,0.029779786316971864
q02_q98,2014,bsi_mean,0.031869595883075155,0.00990047281941433
q02_q98,2015,kndvi_mean,0.011337216896110341,0.033201849481466005
q02_q98,2015,nbr_mean,0.013061309788145556,0.01577806222407983
q02_q98,2015,ndmi_mean,0.009221284710430763,0.010997622841618558
